timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1773818869,0.40,2.73,8.21,203.96,1.49,18.38,0.24
1773818870,0.40,2.74,8.21,203.99,1.49,18.35,0.24
1773818871,0.40,2.74,8.21,204.00,1.49,18.33,0.24
1773818872,0.40,2.74,8.21,204.00,1.49,18.33,0.24
1773818873,0.40,2.74,8.21,203.99,1.49,18.33,0.24
1773818874,0.40,2.74,8.21,203.99,1.49,18.33,0.24
1773818875,0.40,2.74,8.21,203.98,1.49,18.33,0.24
1773818876,0.40,2.74,8.21,203.98,1.49,18.33,0.24
1773818877,0.40,2.74,8.21,203.98,1.49,18.33,0.24
1773818878,0.40,2.74,8.21,203.97,1.49,18.33,0.24
1773818879,0.40,2.74,8.21,203.97,1.49,18.33,0.24
1773818880,0.40,2.74,8.21,203.97,1.49,18.33,0.24
1773818881,0.40,2.74,8.21,203.96,1.49,18.33,0.24
1773818882,0.40,2.74,8.20,203.96,1.49,18.33,0.24
1773818883,0.40,2.74,8.20,203.95,1.49,18.33,0.24
1773818884,0.40,2.74,8.20,203.95,1.49,18.33,0.24
1773818885,0.40,2.74,8.20,203.96,1.49,18.31,0.24
1773818886,0.40,2.74,8.20,203.96,1.49,18.31,0.24
1773818887,0.40,2.74,8.20,203.96,1.49,18.31,0.24
1773818888,0.40,2.74,8.20,203.95,1.49,18.31,0.24
1773818889,0.40,2.74,8.20,203.95,1.49,18.31,0.24
1773818890,0.40,2.74,8.20,203.94,1.49,18.31,0.24
1773818891,0.40,2.74,8.20,203.94,1.49,18.31,0.24
1773818892,0.40,2.74,8.20,203.94,1.49,18.31,0.24
1773818893,0.40,2.74,8.20,203.93,1.49,18.31,0.24
1773818894,0.40,2.74,8.20,203.93,1.49,18.31,0.24
1773818895,0.40,2.74,8.20,203.93,1.49,18.30,0.24
1773818896,0.40,2.74,8.20,203.93,1.49,18.30,0.24
1773818897,0.40,2.74,8.20,203.93,1.49,18.30,0.24
1773818898,0.40,2.74,8.20,203.93,1.49,18.30,0.24
1773818899,0.40,2.74,8.20,203.92,1.49,18.30,0.24
1773818900,0.40,2.74,8.20,203.92,1.49,18.30,0.24
1773818901,0.40,2.74,8.20,203.92,1.49,18.29,0.24
1773818902,0.40,2.74,8.20,203.92,1.49,18.29,0.24
1773818903,0.40,2.74,8.20,203.91,1.49,18.29,0.24
1773818904,0.40,2.74,8.20,203.91,1.49,18.29,0.24
1773818905,0.40,2.74,8.20,203.90,1.49,18.29,0.24
1773818906,0.40,2.74,8.20,203.90,1.49,18.29,0.24
1773818907,0.40,2.74,8.20,203.90,1.49,18.29,0.24
1773818908,0.40,2.74,8.20,203.90,1.49,18.29,0.24
1773818909,0.40,2.74,8.20,203.89,1.49,18.29,0.24
1773818910,0.40,2.74,8.20,203.89,1.49,18.29,0.24
1773818911,0.40,2.74,8.20,203.89,1.49,18.29,0.24
1773818912,0.40,2.74,8.20,203.88,1.49,18.29,0.24
1773818913,0.40,2.74,8.20,203.88,1.49,18.29,0.24
1773818914,0.40,2.74,8.20,203.87,1.49,18.29,0.24
1773818915,0.40,2.74,8.20,203.87,1.49,18.29,0.24
1773818916,0.40,2.74,8.20,203.87,1.49,18.29,0.24
1773818917,0.40,2.75,8.20,203.87,1.49,18.28,0.24
