timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1773818869,0.39,2.47,7.90,202.30,1.67,21.27,0.24
1773818870,0.39,2.47,7.90,202.30,1.67,21.27,0.24
1773818871,0.39,2.47,7.91,202.29,1.67,21.27,0.24
1773818872,0.39,2.47,7.91,202.29,1.67,21.27,0.24
1773818873,0.39,2.47,7.91,202.32,1.67,21.23,0.24
1773818874,0.39,2.47,7.91,202.32,1.67,21.23,0.24
1773818875,0.39,2.47,7.91,202.31,1.67,21.23,0.24
1773818876,0.39,2.47,7.91,202.31,1.67,21.23,0.24
1773818877,0.39,2.47,7.91,202.31,1.67,21.23,0.24
1773818878,0.39,2.48,7.91,202.33,1.67,21.21,0.24
1773818879,0.39,2.48,7.91,202.33,1.67,21.21,0.24
1773818880,0.39,2.48,7.90,202.33,1.67,21.21,0.24
1773818881,0.39,2.48,7.90,202.32,1.67,21.21,0.24
1773818882,0.39,2.48,7.90,202.32,1.67,21.21,0.24
1773818883,0.39,2.48,7.90,202.31,1.67,21.21,0.24
1773818884,0.39,2.48,7.90,202.31,1.67,21.21,0.24
1773818885,0.39,2.48,7.90,202.31,1.67,21.21,0.24
1773818886,0.39,2.48,7.90,202.30,1.67,21.21,0.24
1773818887,0.39,2.48,7.90,202.30,1.67,21.21,0.24
1773818888,0.39,2.48,7.90,202.30,1.67,21.21,0.24
1773818889,0.39,2.48,7.90,202.30,1.67,21.19,0.24
1773818890,0.39,2.48,7.90,202.30,1.67,21.19,0.24
1773818891,0.39,2.48,7.90,202.29,1.67,21.19,0.24
1773818892,0.39,2.48,7.90,202.29,1.67,21.19,0.24
1773818893,0.39,2.48,7.90,202.28,1.67,21.19,0.24
1773818894,0.39,2.48,7.90,202.29,1.67,21.19,0.24
1773818895,0.39,2.48,7.90,202.28,1.67,21.19,0.24
1773818896,0.39,2.48,7.90,202.28,1.67,21.19,0.24
1773818897,0.39,2.48,7.90,202.27,1.67,21.19,0.24
1773818898,0.39,2.48,7.90,202.27,1.67,21.19,0.24
1773818899,0.39,2.48,7.90,202.27,1.67,21.19,0.24
1773818900,0.39,2.48,7.90,202.27,1.67,21.18,0.24
1773818901,0.39,2.48,7.90,202.26,1.67,21.18,0.24
1773818902,0.39,2.48,7.90,202.26,1.67,21.18,0.24
1773818903,0.39,2.48,7.90,202.26,1.67,21.18,0.24
1773818904,0.39,2.48,7.90,202.25,1.67,21.18,0.24
1773818905,0.39,2.48,7.90,202.25,1.67,21.17,0.24
1773818906,0.39,2.48,7.90,202.25,1.67,21.17,0.24
1773818907,0.39,2.48,7.90,202.25,1.67,21.17,0.24
1773818908,0.39,2.48,7.90,202.24,1.67,21.17,0.24
1773818909,0.39,2.48,7.90,202.24,1.67,21.17,0.24
1773818910,0.39,2.48,7.90,202.24,1.67,21.17,0.24
1773818911,0.39,2.48,7.90,202.24,1.67,21.16,0.24
1773818912,0.39,2.48,7.90,202.23,1.67,21.16,0.24
1773818913,0.39,2.48,7.90,202.23,1.67,21.16,0.24
1773818914,0.39,2.48,7.90,202.23,1.67,21.16,0.24
1773818915,0.39,2.48,7.90,202.22,1.67,21.16,0.24
1773818916,0.39,2.48,7.90,202.22,1.67,21.15,0.24
1773818917,0.39,2.48,7.90,202.22,1.67,21.15,0.24
1773818918,0.39,2.48,7.90,202.22,1.67,21.15,0.24
1773818919,0.39,2.48,7.90,202.21,1.67,21.15,0.24
1773818920,0.39,2.48,7.90,202.21,1.67,21.15,0.24
1773818921,0.39,2.48,7.90,202.20,1.67,21.15,0.24
1773818922,0.39,2.48,7.90,202.20,1.67,21.15,0.24
1773818923,0.39,2.48,7.90,202.20,1.67,21.15,0.24
1773818924,0.39,2.48,7.90,202.19,1.67,21.15,0.24
1773818925,0.39,2.48,7.90,202.19,1.67,21.15,0.24
1773818926,0.39,2.48,7.90,202.19,1.67,21.15,0.24
1773818927,0.39,2.48,7.90,202.19,1.67,21.14,0.24
1773818928,0.39,2.48,7.90,202.18,1.67,21.14,0.24
1773818929,0.39,2.48,7.90,202.18,1.67,21.14,0.24
1773818930,0.39,2.48,7.90,202.18,1.67,21.14,0.24
1773818931,0.39,2.48,7.90,202.17,1.67,21.14,0.24
1773818932,0.39,2.48,7.90,202.17,1.67,21.14,0.24
1773818933,0.39,2.48,7.90,202.18,1.67,21.12,0.24
1773818934,0.39,2.48,7.90,202.17,1.67,21.12,0.24
1773818935,0.39,2.48,7.90,202.17,1.67,21.12,0.24
1773818936,0.39,2.48,7.90,202.16,1.67,21.12,0.24
1773818937,0.39,2.48,7.90,202.16,1.67,21.12,0.24
1773818938,0.39,2.48,7.90,202.16,1.67,21.12,0.24
1773818939,0.39,2.48,7.90,202.15,1.67,21.12,0.24
1773818940,0.39,2.48,7.90,202.15,1.67,21.12,0.24
1773818941,0.39,2.48,7.90,202.15,1.67,21.12,0.24
1773818942,0.39,2.48,7.90,202.14,1.67,21.12,0.24
1773818943,0.39,2.49,7.90,202.16,1.67,21.09,0.24
1773818944,0.39,2.49,7.90,202.15,1.67,21.09,0.24
1773818945,0.39,2.49,7.90,202.15,1.67,21.09,0.24
1773818946,0.39,2.49,7.90,202.15,1.67,21.09,0.24
1773818947,0.39,2.49,7.90,202.15,1.67,21.09,0.24
1773818948,0.39,2.49,7.90,202.14,1.67,21.09,0.24
1773818949,0.39,2.49,7.89,202.14,1.67,21.09,0.24
1773818950,0.39,2.49,7.89,202.14,1.67,21.09,0.24
1773818951,0.39,2.49,7.89,202.13,1.67,21.09,0.24
1773818952,0.39,2.49,7.89,202.13,1.67,21.08,0.24
1773818953,0.39,2.49,7.89,202.13,1.67,21.08,0.24
1773818954,0.39,2.49,7.89,202.12,1.67,21.08,0.24
1773818955,0.39,2.49,7.89,202.12,1.67,21.08,0.24
1773818956,0.39,2.49,7.89,202.11,1.67,21.08,0.24
1773818957,0.39,2.49,7.89,202.11,1.67,21.08,0.24
1773818958,0.39,2.49,7.89,202.11,1.67,21.08,0.24
1773818959,0.39,2.49,7.89,202.11,1.67,21.07,0.24
1773818960,0.39,2.49,7.89,202.11,1.67,21.07,0.24
1773818961,0.39,2.49,7.89,202.10,1.67,21.07,0.24
1773818962,0.39,2.49,7.89,202.10,1.67,21.07,0.24
1773818963,0.39,2.49,7.89,202.10,1.67,21.07,0.24
1773818964,0.39,2.49,7.89,202.09,1.67,21.07,0.24
1773818965,0.39,2.49,7.89,202.09,1.67,21.06,0.24
1773818966,0.39,2.49,7.89,202.09,1.67,21.06,0.24
1773818967,0.39,2.49,7.89,202.09,1.67,21.06,0.24
1773818968,0.39,2.49,7.89,202.08,1.67,21.06,0.24
1773818969,0.39,2.49,7.89,202.08,1.67,21.06,0.24
1773818970,0.39,2.49,7.89,202.08,1.67,21.05,0.24
1773818971,0.39,2.49,7.89,202.08,1.67,21.05,0.24
1773818972,0.39,2.49,7.89,202.07,1.67,21.05,0.24
1773818973,0.39,2.49,7.89,202.07,1.67,21.05,0.24
1773818974,0.39,2.49,7.89,202.06,1.67,21.05,0.24
1773818975,0.39,2.49,7.89,202.06,1.67,21.05,0.24
1773818976,0.39,2.49,7.89,202.06,1.67,21.05,0.24
1773818977,0.39,2.49,7.89,202.05,1.67,21.05,0.24
1773818978,0.39,2.49,7.89,202.05,1.67,21.05,0.24
1773818979,0.39,2.49,7.89,202.05,1.67,21.06,0.24
1773818980,0.39,2.49,7.89,202.04,1.67,21.06,0.24
1773818981,0.39,2.49,7.89,202.05,1.67,21.05,0.24
1773818982,0.39,2.49,7.89,202.04,1.67,21.05,0.24
1773818983,0.39,2.49,7.89,202.04,1.67,21.04,0.24
1773818984,0.39,2.49,7.89,202.04,1.67,21.04,0.24
1773818985,0.39,2.49,7.89,202.03,1.67,21.04,0.24
1773818986,0.39,2.49,7.89,202.03,1.67,21.04,0.24
1773818987,0.39,2.49,7.89,202.03,1.67,21.04,0.24
1773818988,0.39,2.49,7.89,202.02,1.67,21.04,0.24
1773818989,0.39,2.49,7.89,202.02,1.67,21.04,0.24
1773818990,0.39,2.49,7.89,202.02,1.67,21.04,0.24
1773818991,0.39,2.49,7.89,202.01,1.67,21.04,0.24
1773818992,0.39,2.49,7.89,202.01,1.67,21.03,0.24
1773818993,0.39,2.49,7.89,202.01,1.67,21.03,0.24
1773818994,0.39,2.49,7.89,202.01,1.67,21.03,0.24
1773818995,0.39,2.49,7.89,202.00,1.67,21.03,0.24
1773818996,0.39,2.49,7.89,202.00,1.67,21.03,0.24
1773818997,0.39,2.49,7.89,202.00,1.67,21.02,0.24
1773818998,0.39,2.49,7.89,202.00,1.67,21.02,0.24
1773818999,0.39,2.49,7.89,201.99,1.67,21.02,0.24
1773819000,0.39,2.49,7.89,201.99,1.67,21.02,0.24
1773819001,0.39,2.49,7.89,201.98,1.67,21.02,0.24
1773819002,0.39,2.49,7.89,201.98,1.67,21.02,0.24
1773819003,0.39,2.49,7.89,201.98,1.67,21.02,0.24
1773819004,0.39,2.49,7.89,201.98,1.67,21.02,0.24
1773819005,0.39,2.49,7.89,201.97,1.67,21.02,0.24
1773819006,0.39,2.49,7.89,201.97,1.67,21.02,0.24
1773819007,0.39,2.49,7.89,201.97,1.67,21.02,0.24
1773819008,0.39,2.49,7.89,201.96,1.67,21.02,0.24
1773819009,0.39,2.50,7.89,201.96,1.67,21.01,0.24
1773819010,0.39,2.50,7.89,201.96,1.67,21.01,0.24
1773819011,0.39,2.50,7.89,201.96,1.67,21.01,0.24
1773819012,0.39,2.50,7.89,201.95,1.67,21.01,0.24
1773819013,0.39,2.50,7.89,201.95,1.67,21.01,0.24
1773819014,0.39,2.50,7.89,201.95,1.67,21.02,0.24
1773819015,0.39,2.50,7.89,201.95,1.67,21.02,0.24
1773819017,0.39,2.50,7.89,201.94,1.67,21.03,0.24
1773819018,0.39,2.50,7.88,201.94,1.67,21.03,0.24
1773819019,0.39,2.50,7.88,201.94,1.67,21.03,0.24
1773819020,0.39,2.50,7.88,201.94,1.67,21.02,0.24
1773819021,0.39,2.50,7.88,201.93,1.67,21.02,0.24
1773819022,0.39,2.50,7.88,201.93,1.67,21.02,0.24
1773819023,0.39,2.50,7.88,201.93,1.67,21.02,0.24
1773819024,0.39,2.50,7.88,201.92,1.67,21.02,0.24
1773819025,0.39,2.50,7.88,201.92,1.67,21.01,0.24
1773819026,0.39,2.50,7.88,201.92,1.67,21.01,0.24
1773819027,0.39,2.50,7.88,201.92,1.67,21.01,0.24
1773819028,0.39,2.50,7.88,201.91,1.67,21.01,0.24
1773819029,0.39,2.50,7.88,201.91,1.67,21.01,0.24
1773819030,0.39,2.50,7.88,201.91,1.67,21.01,0.24
1773819031,0.39,2.50,7.88,201.91,1.67,21.00,0.24
1773819032,0.39,2.50,7.88,201.90,1.67,21.00,0.24
1773819033,0.39,2.50,7.88,201.90,1.67,21.00,0.24
1773819034,0.39,2.50,7.88,201.89,1.67,21.00,0.24
1773819035,0.39,2.50,7.88,201.89,1.67,21.00,0.24
1773819036,0.39,2.50,7.88,201.89,1.67,21.00,0.24
1773819037,0.39,2.50,7.88,201.88,1.67,21.00,0.24
1773819038,0.39,2.50,7.88,201.88,1.67,21.00,0.24
1773819039,0.39,2.50,7.88,201.88,1.67,21.00,0.24
1773819040,0.39,2.50,7.88,201.87,1.67,21.00,0.24
1773819041,0.39,2.50,7.88,201.87,1.67,21.00,0.24
1773819042,0.39,2.50,7.88,201.87,1.67,20.99,0.24
1773819043,0.39,2.50,7.88,201.87,1.67,20.99,0.24
1773819044,0.39,2.50,7.88,201.86,1.67,20.99,0.24
1773819045,0.39,2.50,7.88,201.86,1.67,20.99,0.24
1773819046,0.39,2.50,7.88,201.86,1.67,20.99,0.24
1773819047,0.39,2.50,7.88,201.86,1.67,20.98,0.24
1773819048,0.39,2.50,7.88,201.85,1.67,20.98,0.24
1773819049,0.39,2.50,7.88,201.85,1.67,20.98,0.24
1773819050,0.39,2.50,7.88,201.85,1.67,20.98,0.24
1773819051,0.39,2.50,7.88,201.84,1.67,20.98,0.24
1773819052,0.39,2.50,7.88,201.84,1.67,20.98,0.24
1773819053,0.39,2.50,7.88,201.84,1.67,20.97,0.24
1773819054,0.39,2.50,7.88,201.84,1.67,20.97,0.24
1773819055,0.39,2.50,7.88,201.83,1.67,20.97,0.24
1773819056,0.39,2.50,7.88,201.83,1.67,20.97,0.24
1773819057,0.39,2.50,7.88,201.82,1.67,20.97,0.24
1773819058,0.39,2.50,7.88,201.83,1.67,20.97,0.24
1773819059,0.39,2.50,7.88,201.82,1.67,20.97,0.24
1773819060,0.39,2.50,7.88,201.82,1.67,20.97,0.24
1773819061,0.39,2.50,7.88,201.81,1.67,20.97,0.24
1773819062,0.39,2.50,7.88,201.81,1.67,20.97,0.24
1773819063,0.39,2.50,7.88,201.81,1.67,20.97,0.24
1773819064,0.39,2.50,7.88,201.80,1.67,20.97,0.24
1773819065,0.39,2.50,7.88,201.80,1.67,20.97,0.24
1773819066,0.39,2.50,7.88,201.80,1.67,20.97,0.24
1773819067,0.39,2.50,7.88,201.79,1.67,20.96,0.24
1773819068,0.39,2.50,7.88,201.79,1.67,20.96,0.24
1773819069,0.39,2.50,7.88,201.79,1.67,21.15,0.24
1773819070,0.39,2.50,7.88,201.79,1.67,21.16,0.24
1773819071,0.39,2.50,7.88,201.78,1.67,21.17,0.24
1773819072,0.39,2.50,7.88,201.78,1.67,21.17,0.24
1773819073,0.39,2.50,7.88,201.78,1.67,21.17,0.24
