timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1773818870,1,245,247
1773818871,1,245,247
1773818872,1,245,247
1773818873,1,245,247
1773818874,1,245,247
1773818875,1,245,247
1773818876,1,245,247
1773818877,1,245,247
1773818878,1,245,247
1773818879,1,245,247
1773818880,1,245,247
1773818881,1,245,247
1773818882,1,245,247
1773818883,1,245,247
1773818884,1,245,247
1773818885,1,245,247
1773818886,1,245,247
1773818887,1,245,247
1773818888,1,245,247
1773818889,1,245,247
1773818890,1,245,247
1773818891,1,245,247
1773818892,1,245,247
1773818893,1,245,247
1773818894,1,245,247
1773818895,1,245,247
1773818896,1,245,247
1773818897,1,245,247
1773818898,1,245,247
1773818899,1,245,247
1773818900,1,245,247
1773818901,1,245,247
1773818902,1,245,247
1773818903,1,245,247
1773818904,1,245,247
1773818905,1,245,247
1773818906,1,245,247
1773818907,1,245,247
1773818908,1,245,247
1773818909,1,245,247
1773818910,1,245,247
1773818911,1,245,247
1773818912,1,245,247
1773818913,1,245,247
1773818914,1,245,247
1773818915,1,245,247
1773818916,1,245,247
1773818917,1,245,247
1773818918,1,245,247
1773818919,1,245,247
1773818920,1,245,247
1773818921,1,245,247
1773818922,1,245,247
1773818923,1,245,247
1773818924,1,245,247
1773818925,1,245,247
1773818926,1,245,247
1773818927,1,245,247
1773818928,1,245,247
1773818929,1,245,247
1773818930,1,245,247
1773818931,1,245,247
1773818932,1,245,247
1773818933,1,245,247
1773818934,1,245,247
1773818935,1,245,247
1773818936,1,245,247
1773818937,1,245,247
1773818938,1,245,247
1773818939,1,245,247
1773818940,1,245,247
1773818941,1,245,247
1773818942,1,245,247
1773818943,1,245,247
1773818944,1,245,247
1773818945,1,245,247
1773818946,1,245,247
1773818947,1,245,247
1773818948,1,245,247
1773818949,1,245,247
1773818950,1,245,247
1773818951,1,245,247
1773818953,1,245,247
1773818954,1,245,247
1773818955,1,245,247
1773818956,1,245,247
1773818957,1,245,247
1773818958,1,245,247
1773818959,1,245,247
1773818960,1,245,247
1773818961,1,245,247
1773818962,1,245,247
1773818963,1,245,247
1773818964,1,245,247
1773818965,1,245,247
1773818966,1,245,247
1773818967,1,245,247
1773818968,1,245,247
1773818969,1,245,247
1773818970,1,245,247
1773818971,1,245,247
1773818972,1,245,247
1773818973,1,245,247
1773818974,1,245,247
1773818975,1,245,247
1773818976,1,245,247
1773818977,1,245,247
1773818978,1,245,247
1773818979,1,245,247
1773818980,1,245,247
1773818981,1,245,247
1773818982,1,245,247
1773818983,1,245,247
1773818984,1,245,247
1773818985,1,245,247
1773818986,1,245,247
1773818987,1,245,247
1773818988,1,245,247
1773818989,1,245,247
1773818990,1,245,247
1773818991,1,245,247
1773818992,1,245,247
1773818993,1,245,247
1773818994,1,245,247
1773818995,1,245,247
1773818996,1,245,247
1773818997,1,245,247
1773818998,1,245,247
1773818999,1,245,247
1773819000,1,245,247
1773819001,1,245,247
1773819002,1,245,247
1773819003,1,245,247
1773819004,1,245,247
1773819005,1,245,247
1773819006,1,245,247
1773819007,1,245,247
1773819008,1,245,247
1773819009,1,245,247
1773819010,1,245,247
1773819011,1,245,247
1773819012,1,245,247
1773819013,1,245,247
1773819014,1,245,247
1773819015,1,245,247
1773819016,1,245,247
1773819017,1,245,247
1773819018,1,245,247
1773819019,1,245,247
1773819020,1,245,247
1773819021,1,245,247
1773819022,1,245,247
1773819023,1,245,247
1773819024,1,245,247
1773819025,1,245,247
1773819026,1,245,247
1773819027,1,245,247
1773819028,1,245,247
1773819029,1,245,247
1773819030,1,245,247
1773819031,1,245,247
