timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1773818867,12.59,3.53,0.00,83.12
1773818868,22.34,7.36,0.00,70.05
1773818869,13.50,3.25,0.00,83.00
1773818870,12.97,4.99,0.00,81.55
1773818871,6.25,3.75,0.00,90.00
1773818872,0.00,0.75,0.75,98.50
1773818873,0.00,0.50,0.00,99.50
1773818874,0.50,1.00,0.00,98.51
1773818875,0.25,0.75,0.00,99.00
1773818876,0.00,0.50,0.00,99.50
1773818877,0.75,0.75,0.25,98.26
1773818878,0.00,0.75,0.00,99.25
1773818879,0.25,0.75,0.00,98.75
1773818880,0.25,0.75,0.00,98.99
1773818881,0.25,0.75,0.00,98.75
1773818882,0.25,0.75,0.00,99.00
1773818883,0.25,1.00,0.00,98.75
1773818884,0.25,0.75,0.00,99.00
1773818885,0.00,0.75,0.00,99.25
1773818886,0.75,0.50,0.00,98.75
1773818887,0.00,1.25,0.00,98.75
1773818888,0.00,0.75,0.25,99.00
1773818889,0.25,0.50,0.00,99.25
1773818890,0.50,0.50,0.00,99.00
1773818891,0.25,0.75,0.00,99.00
1773818892,0.25,0.75,0.00,99.00
1773818893,0.25,1.00,0.00,98.75
1773818894,0.00,0.75,0.00,99.25
1773818895,0.25,1.00,0.00,98.75
1773818896,0.75,1.00,0.00,98.26
1773818897,0.00,0.75,0.00,99.25
1773818898,0.50,0.50,0.00,98.99
1773818899,0.75,0.75,0.00,98.50
1773818900,0.25,1.25,0.00,98.50
1773818901,0.25,0.75,0.00,99.00
1773818902,0.00,1.00,0.00,99.00
1773818903,0.00,0.50,0.00,99.50
1773818904,0.25,0.25,0.00,99.50
1773818905,0.50,0.75,0.00,98.75
1773818906,0.00,0.50,0.00,99.50
1773818907,0.50,1.00,0.00,98.51
1773818908,0.50,0.75,0.00,98.75
1773818909,0.00,0.75,0.00,99.25
1773818910,0.00,0.51,0.00,99.49
1773818911,1.00,0.50,0.00,98.50
1773818912,0.25,0.75,0.00,99.00
1773818913,0.00,0.75,0.00,99.25
1773818914,0.75,0.75,0.00,98.25
1773818915,0.00,0.50,0.00,99.25
1773818916,0.25,1.00,0.25,98.50
1773818917,0.25,0.75,0.00,98.75
1773818918,0.00,0.75,0.00,99.00
1773818919,0.50,1.25,0.00,98.25
1773818920,0.25,0.75,0.00,98.75
1773818921,0.50,0.75,0.00,98.75
1773818922,0.00,0.75,0.00,99.25
1773818923,0.25,0.75,0.00,99.00
1773818924,0.25,1.00,0.00,98.75
1773818925,0.25,0.50,0.00,99.25
1773818926,0.00,0.76,0.00,99.24
1773818927,0.50,1.00,0.00,98.50
1773818928,0.00,0.75,0.00,99.25
1773818929,0.50,1.25,0.00,98.25
1773818930,0.00,0.76,0.00,99.24
1773818931,0.75,1.00,0.00,98.25
1773818932,0.00,0.76,0.00,99.24
1773818933,0.50,0.75,0.00,98.75
1773818934,0.25,0.75,0.00,98.76
1773818935,0.25,0.00,0.00,99.75
1773818936,0.00,0.75,0.00,99.25
1773818937,0.50,1.01,0.00,98.49
1773818938,0.25,0.75,0.00,99.00
1773818939,0.25,1.00,0.00,98.75
1773818940,0.00,0.75,0.00,99.25
1773818941,1.00,1.50,0.00,97.50
1773818942,0.25,0.50,0.00,99.00
1773818943,0.00,0.76,0.00,99.24
1773818944,0.00,1.00,0.00,99.00
1773818945,0.75,0.75,0.00,98.50
1773818946,0.25,0.50,0.25,98.99
1773818947,0.25,0.75,0.00,99.00
1773818948,0.00,0.75,0.00,99.25
1773818949,0.00,0.76,0.00,99.24
1773818950,0.50,1.25,0.00,98.25
1773818951,0.75,1.00,0.00,98.25
1773818952,0.00,0.50,0.00,99.50
1773818953,0.25,1.24,0.00,98.51
1773818954,0.00,0.75,0.00,99.25
1773818955,0.25,1.00,0.00,98.75
1773818956,0.25,0.75,0.00,98.75
1773818957,0.00,0.75,0.00,99.25
1773818958,0.50,0.75,0.00,98.75
1773818959,0.00,0.25,0.00,99.75
1773818960,0.00,0.50,0.00,99.50
1773818961,0.25,1.00,0.00,98.75
1773818962,0.25,0.50,0.00,99.25
1773818963,0.50,0.50,0.00,98.76
1773818964,0.00,0.75,0.00,99.25
1773818965,0.50,1.00,0.00,98.50
1773818966,0.00,1.00,0.00,98.75
1773818967,0.25,0.75,0.00,99.00
1773818968,0.25,0.75,0.00,99.00
1773818969,0.25,1.00,0.00,98.75
1773818970,0.00,0.50,0.25,98.75
1773818971,0.25,1.00,0.00,98.75
1773818972,0.25,0.75,0.00,99.00
1773818973,0.50,0.75,0.00,98.75
1773818974,0.00,0.75,0.00,99.25
1773818975,0.25,0.75,0.00,99.00
1773818976,0.00,0.50,0.00,99.50
1773818977,0.50,0.75,0.00,98.50
1773818978,0.25,0.75,0.00,98.99
1773818979,0.25,0.75,0.00,99.00
1773818980,0.00,0.75,0.00,99.00
1773818981,0.25,1.00,0.00,98.75
1773818982,0.25,0.50,0.00,99.25
1773818983,0.00,1.00,0.00,99.00
