timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592355,13.57,10.05,1.01,43.22
1774592356,32.50,6.00,0.00,50.50
1774592357,31.47,21.83,2.03,44.67
1774592358,3.98,5.47,0.00,48.76
1774592359,41.50,8.00,1.00,49.00
1774592360,29.08,18.37,7.14,45.41
1774592361,33.17,16.08,3.02,47.74
1774592362,19.10,14.57,0.50,41.21
1774592363,26.87,4.98,0.00,50.25
1774592364,33.67,19.39,4.08,42.86
1774592365,42.00,12.00,0.00,45.50
1774592366,23.00,14.50,2.00,48.50
1774592367,13.13,5.05,0.00,53.03
1774592368,37.37,13.64,2.02,46.97
1774592369,20.00,13.00,0.50,48.00
1774592370,14.07,5.53,0.00,52.26
1774592371,42.71,8.04,0.50,48.74
1774592372,12.18,12.69,27.41,47.72
1774592373,0.99,1.49,77.23,19.80
1774592374,27.50,5.50,19.50,47.50
1774592375,43.72,8.04,0.50,47.74
1774592376,23.12,15.58,2.01,48.74
1774592377,11.94,3.98,0.00,52.74
1774592378,39.00,10.00,2.50,48.50
1774592379,30.81,15.66,2.02,46.97
1774592380,9.41,3.96,0.00,48.51
1774592381,44.00,7.50,0.00,48.50
1774592382,31.84,18.41,3.48,46.27
1774592383,6.50,5.50,0.00,48.50
1774592384,37.50,7.00,0.00,53.00
1774592385,29.44,19.80,2.03,44.67
1774592386,6.90,4.93,0.00,48.28
1774592387,37.19,13.07,1.51,48.24
1774592388,17.09,8.04,0.50,48.24
1774592389,25.76,5.05,0.00,52.02
1774592390,31.34,19.40,1.49,47.26
1774592391,4.50,5.50,0.50,48.00
1774592392,38.69,9.05,0.00,52.26
1774592393,36.68,15.58,5.53,42.21
1774592394,34.50,15.00,3.50,47.00
1774592395,0.50,5.03,0.00,52.26
1774592396,40.20,9.05,1.51,49.25
1774592397,26.50,17.50,2.00,45.00
1774592398,8.54,4.52,0.00,53.77
1774592399,36.68,14.07,1.51,47.24
1774592400,23.88,12.94,1.00,44.78
1774592401,17.09,5.03,0.00,50.25
1774592402,35.18,15.58,1.51,47.74
1774592403,17.09,10.05,0.50,45.23
1774592404,26.50,4.50,0.00,54.00
1774592405,30.46,17.77,3.55,48.22
1774592406,11.94,8.46,1.00,47.26
1774592407,24.75,5.05,0.00,53.03
1774592408,38.19,14.07,1.51,46.23
