timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774593502,11.08,5.79,0.50,66.75
1774593503,12.06,3.27,0.00,75.88
1774593504,15.87,8.06,3.02,72.80
1774593505,13.92,10.13,4.30,71.39
1774593506,15.96,7.73,2.49,73.32
1774593507,12.09,8.31,0.25,68.51
1774593508,7.52,2.51,0.00,75.94
1774593509,16.50,6.25,3.50,73.25
1774593510,2.52,4.03,20.91,72.54
1774593511,0.75,2.01,28.32,68.67
1774593512,1.75,2.26,27.32,68.67
1774593513,1.26,2.26,22.86,73.62
1774593514,2.51,6.53,17.84,73.12
1774593515,15.37,5.79,6.80,72.04
1774593516,9.00,5.25,0.00,71.50
1774593517,10.47,2.99,0.00,76.06
1774593518,15.29,8.27,3.26,72.68
1774593519,7.75,8.50,11.25,72.25
1774593520,18.75,5.25,2.75,73.00
1774593521,18.94,6.57,1.77,72.73
1774593522,7.04,4.02,0.00,73.87
1774593523,13.78,3.51,0.00,73.68
1774593524,11.28,6.27,9.52,72.68
1774593525,1.00,2.25,23.50,73.00
1774593526,0.51,2.53,22.98,73.99
1774593527,0.76,2.52,23.17,73.55
1774593528,1.01,2.51,25.13,71.36
1774593529,0.50,2.26,23.37,73.62
1774593530,0.75,1.75,36.59,60.65
1774593531,0.50,2.02,25.94,71.54
1774593532,0.76,2.02,23.17,73.55
1774593533,1.26,2.26,23.87,72.61
1774593534,1.26,3.27,26.13,69.35
1774593535,0.75,3.27,26.13,69.85
1774593536,0.76,2.78,22.73,73.74
1774593537,1.01,3.77,22.11,73.12
1774593538,1.01,3.28,22.22,73.23
1774593539,0.51,2.28,40.25,56.96
1774593540,0.76,2.27,28.97,67.76
1774593541,0.75,2.01,26.38,70.85
1774593542,0.75,2.51,23.31,73.43
1774593543,1.01,2.26,23.12,73.62
1774593544,1.00,3.51,24.06,71.18
1774593545,0.76,2.52,22.92,73.80
1774593546,1.52,3.54,24.75,70.20
1774593547,1.51,2.76,27.64,68.09
1774593548,0.76,2.02,23.23,73.74
1774593549,2.01,3.51,22.56,71.93
1774593550,1.01,2.77,40.30,55.92
1774593551,1.26,2.77,22.67,73.30
1774593552,1.01,2.28,25.57,71.14
1774593553,0.50,2.76,25.88,70.60
1774593554,1.74,3.98,21.39,72.64
1774593555,0.50,3.52,22.61,73.37
1774593556,1.48,3.95,33.83,60.00
1774593557,1.02,12.02,13.30,73.66
1774593558,6.14,18.41,2.56,72.63
1774593559,3.02,6.05,18.14,72.80
1774593560,1.76,5.03,23.62,69.10
1774593561,2.27,5.79,20.15,71.54
1774593562,0.51,3.04,23.04,73.42
1774593563,3.00,6.25,20.25,70.50
1774593564,17.79,6.52,2.51,73.18
1774593565,16.88,4.28,6.30,72.54
1774593566,8.08,16.16,2.78,72.98
1774593567,7.52,19.80,1.75,70.18
1774593568,6.82,19.19,2.27,71.21
1774593569,11.42,13.96,6.09,68.53
1774593570,2.53,5.56,18.43,73.48
1774593571,11.72,11.22,4.24,72.82
1774593572,2.51,2.51,0.25,73.62
1774593573,15.83,4.02,0.25,75.63
1774593574,12.09,8.31,6.55,72.80
1774593575,16.29,7.02,4.26,72.18
1774593576,14.72,9.14,1.27,67.51
1774593577,3.25,3.75,0.00,76.00
1774593578,21.61,5.28,0.00,73.12
1774593579,18.00,7.75,5.75,68.00
1774593580,14.61,8.31,0.50,72.04
1774593581,1.25,3.24,0.00,74.06
1774593582,23.31,3.26,0.00,73.43
1774593583,10.86,9.85,7.83,71.21
1774593584,3.01,4.76,21.55,70.68
1774593585,2.26,4.77,20.10,72.11
1774593586,11.17,9.14,7.11,72.34
1774593587,18.55,9.52,1.00,70.43
1774593588,19.45,6.73,2.00,71.82
1774593589,16.16,8.59,2.78,72.22
1774593590,7.58,19.19,1.01,71.72
1774593591,8.33,20.71,0.51,70.45
1774593592,11.39,17.22,0.25,70.89
1774593593,20.92,14.54,3.57,60.71
1774593594,2.99,2.99,0.25,73.32
1774593595,17.79,3.26,0.00,73.93
1774593596,14.18,9.70,2.49,73.13
1774593597,5.03,5.03,0.25,72.11
1774593598,16.21,3.49,0.25,74.06
1774593599,12.34,12.09,2.02,72.80
