timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774593502,6,58,61
1774593503,6,58,61
1774593504,6,58,61
1774593505,6,58,61
1774593506,6,58,61
1774593507,6,58,61
1774593508,6,58,61
1774593509,6,58,61
1774593510,6,58,61
1774593511,6,58,61
1774593512,6,58,61
1774593513,6,58,61
1774593514,6,58,61
1774593515,6,58,61
1774593516,6,58,61
1774593517,6,58,61
1774593518,6,58,61
1774593519,6,58,61
1774593520,6,58,61
1774593521,6,58,61
1774593522,6,58,61
1774593523,6,58,61
1774593524,6,58,61
1774593525,6,58,61
1774593526,6,58,61
1774593527,6,58,61
1774593528,6,58,61
1774593529,6,58,61
1774593530,6,58,61
1774593531,6,58,61
1774593532,6,58,61
1774593533,6,58,61
1774593534,6,58,61
1774593535,6,58,61
1774593536,6,58,61
1774593537,6,58,61
1774593538,6,58,61
1774593539,6,58,61
1774593540,6,58,61
1774593541,6,58,61
1774593542,6,58,61
1774593543,6,58,61
1774593544,6,58,61
1774593545,6,58,61
1774593546,6,58,61
1774593547,6,58,61
1774593548,6,58,61
1774593549,6,58,61
1774593550,7,58,61
1774593551,7,58,61
1774593552,7,58,61
1774593553,7,58,61
1774593554,7,58,61
1774593555,7,58,61
1774593556,7,58,61
1774593557,7,58,61
1774593558,7,58,61
1774593559,7,58,61
1774593560,7,58,61
1774593561,7,58,61
1774593562,7,58,61
1774593563,7,58,61
1774593564,7,58,61
1774593565,7,58,61
1774593566,7,58,61
1774593567,7,58,61
1774593568,7,58,61
1774593569,7,58,61
1774593570,7,58,61
1774593571,7,58,61
1774593572,7,58,61
1774593573,7,58,61
1774593574,7,58,61
1774593575,7,58,61
1774593576,7,58,61
1774593577,7,58,61
1774593578,7,58,61
1774593579,7,58,61
1774593580,7,58,61
1774593581,7,58,61
1774593582,7,58,61
1774593583,7,58,61
1774593584,7,58,61
1774593585,7,58,61
1774593586,7,58,61
1774593587,7,58,61
1774593588,7,58,61
1774593589,7,58,61
1774593590,7,58,61
1774593591,7,58,61
1774593592,7,58,61
1774593593,7,58,61
1774593594,7,58,61
1774593595,7,58,61
1774593596,7,58,61
1774593597,7,58,61
1774593598,7,58,61
1774593599,7,58,61
1774593600,7,58,61
1774593601,7,58,61
1774593602,7,58,61
1774593603,7,58,61
1774593604,7,58,61
1774593605,7,58,61
1774593607,7,58,61
1774593608,7,58,61
1774593609,7,58,61
1774593610,7,58,61
1774593611,7,58,61
1774593612,7,58,61
1774593613,7,58,61
1774593614,7,58,61
1774593615,7,58,61
1774593616,7,58,61
1774593617,7,58,61
1774593618,7,58,61
1774593619,7,58,61
1774593620,7,58,61
1774593621,7,58,61
1774593622,7,58,61
1774593623,7,58,61
1774593624,7,58,61
1774593625,7,58,61
1774593626,7,58,61
1774593627,7,58,61
1774593628,7,58,61
1774593629,7,58,61
1774593630,7,58,61
1774593631,7,58,61
1774593632,7,58,61
1774593633,7,58,61
1774593634,7,58,61
1774593635,7,58,61
1774593636,7,58,61
1774593637,7,58,61
1774593638,7,58,61
1774593639,7,58,61
1774593640,7,58,61
1774593641,7,58,61
1774593642,7,58,61
1774593643,7,58,61
1774593644,7,58,61
1774593645,7,58,61
1774593646,7,58,61
1774593647,7,58,61
1774593648,7,58,61
1774593649,7,58,61
1774593650,7,58,61
1774593651,7,58,61
1774593652,7,58,61
1774593653,7,58,61
1774593654,7,58,61
1774593655,7,58,61
1774593656,7,58,61
1774593657,7,58,61
1774593658,7,58,61
1774593659,7,58,61
1774593660,7,58,61
1774593661,7,58,61
1774593662,7,58,61
1774593663,7,58,61
1774593664,7,58,61
1774593665,7,58,61
1774593666,7,58,61
1774593667,7,58,61
1774593668,7,58,61
1774593669,7,58,61
1774593670,7,58,61
1774593671,7,58,61
1774593672,7,58,61
1774593673,7,58,61
1774593674,7,58,61
1774593675,7,58,61
1774593676,7,58,61
1774593677,7,58,61
1774593678,7,58,61
1774593679,7,58,61
1774593680,7,58,61
1774593681,7,58,61
1774593682,7,58,61
1774593683,7,58,61
1774593684,7,58,61
1774593685,7,58,61
1774593686,7,58,61
1774593687,7,58,61
1774593688,7,58,61
1774593689,7,58,61
1774593690,7,58,61
1774593691,7,58,61
1774593692,7,58,61
1774593693,7,58,61
1774593694,7,58,61
1774593695,7,58,61
1774593696,7,58,61
1774593697,7,58,61
1774593698,7,58,61
1774593699,7,58,61
1774593700,7,58,61
1774593701,7,58,61
1774593702,7,58,61
1774593703,7,58,61
1774593704,7,58,61
1774593705,7,58,61
1774593706,7,58,61
1774593707,7,58,61
1774593708,7,58,61
1774593709,7,58,61
1774593710,7,58,61
1774593711,7,58,61
1774593712,7,58,61
1774593713,7,58,61
1774593714,7,58,61
1774593715,7,58,61
1774593716,7,58,61
1774593717,7,58,61
1774593718,7,58,61
1774593719,7,58,61
1774593720,7,58,61
1774593721,7,58,61
1774593722,7,58,61
1774593723,7,58,61
1774593724,7,58,61
1774593725,7,58,61
1774593726,7,58,61
1774593727,7,58,61
1774593728,7,58,61
1774593729,7,58,61
1774593731,7,58,61
1774593732,7,58,61
1774593733,7,58,61
1774593734,7,58,61
1774593735,7,58,61
1774593736,7,58,61
1774593737,7,58,61
1774593738,7,58,61
1774593739,7,58,61
1774593740,7,58,61
1774593741,7,58,61
1774593742,7,58,61
1774593743,7,58,61
1774593744,7,58,61
1774593745,7,58,61
1774593746,7,58,61
1774593747,7,58,61
1774593748,7,58,61
1774593749,7,58,61
1774593750,7,58,61
1774593751,7,58,61
1774593752,7,58,61
1774593753,7,58,61
1774593754,7,58,61
1774593755,7,58,61
1774593756,6,58,61
1774593757,6,58,61
1774593758,6,58,61
1774593759,6,58,61
1774593760,6,58,61
1774593761,6,58,61
1774593762,6,58,61
1774593763,6,58,61
1774593764,6,58,61
1774593765,6,58,61
1774593766,6,58,61
1774593767,6,58,61
1774593768,6,58,61
1774593769,6,58,61
1774593770,6,58,61
1774593771,6,58,61
1774593772,6,58,61
1774593773,6,58,61
1774593774,6,58,61
1774593775,6,58,61
1774593776,6,58,61
1774593777,6,58,61
1774593778,6,58,61
1774593779,6,58,61
1774593780,6,58,61
1774593781,6,58,61
1774593782,6,58,61
1774593783,6,58,61
1774593784,6,58,61
1774593785,6,58,61
1774593786,6,58,61
1774593787,6,58,61
1774593788,6,58,61
1774593789,6,58,61
1774593790,6,58,61
1774593791,6,58,61
1774593792,6,58,61
1774593793,6,58,61
1774593794,6,58,61
1774593795,6,58,61
1774593796,6,58,61
1774593797,6,58,61
1774593798,6,58,61
1774593799,6,58,61
1774593800,6,58,61
1774593801,6,58,61
1774593802,6,58,61
1774593803,6,58,61
1774593804,6,58,61
1774593805,6,58,61
1774593806,6,58,61
1774593807,6,58,61
1774593808,6,58,61
1774593809,6,58,61
1774593810,6,58,61
1774593811,6,58,61
1774593812,6,58,61
1774593813,6,58,61
1774593814,6,58,61
1774593815,6,58,61
1774593816,6,58,61
1774593817,6,58,61
1774593818,6,58,61
1774593819,6,58,61
1774593820,6,58,61
1774593821,6,58,61
1774593822,6,58,61
1774593823,6,58,61
1774593824,6,58,61
1774593825,6,58,61
1774593826,6,58,61
1774593827,6,58,61
1774593828,6,58,61
1774593829,6,58,61
1774593830,6,58,61
1774593831,6,58,61
1774593832,6,58,61
1774593833,6,58,61
1774593834,6,58,61
1774593835,6,58,61
1774593836,6,58,61
1774593837,6,58,61
1774593838,6,58,61
1774593839,6,58,61
1774593840,6,58,61
1774593841,6,58,61
