timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1774593502,0.20,8.93,5.53,111.00,3.04,7.54,0.33
1774593503,0.20,8.93,5.53,111.04,3.04,7.54,0.33
1774593504,0.20,8.93,5.53,111.04,3.04,7.54,0.33
1774593505,0.20,8.93,5.53,111.24,3.04,7.54,0.33
1774593506,0.20,8.94,5.53,111.46,3.03,7.53,0.34
1774593507,0.20,8.94,5.53,111.54,3.03,7.53,0.34
1774593508,0.20,8.95,5.53,111.61,3.03,7.53,0.34
1774593509,0.20,8.95,5.53,111.61,3.03,7.53,0.34
1774593510,0.20,8.95,5.54,111.79,3.03,7.52,0.34
1774593511,0.20,8.96,5.54,111.99,3.05,7.56,0.34
1774593512,0.20,8.97,5.54,112.09,3.06,7.59,0.34
1774593513,0.20,8.97,5.55,112.26,3.09,7.65,0.34
1774593514,0.20,8.98,5.55,112.35,3.10,7.70,0.34
1774593515,0.20,9.02,5.55,112.57,3.10,7.70,0.34
1774593516,0.21,9.02,5.57,112.66,3.05,7.70,0.34
1774593517,0.21,9.02,5.57,112.70,3.05,7.70,0.34
1774593518,0.21,9.02,5.57,112.70,3.05,7.70,0.34
1774593519,0.21,9.03,5.57,112.78,3.05,7.70,0.34
1774593520,0.21,9.04,5.57,112.99,3.04,7.69,0.34
1774593521,0.21,9.04,5.58,113.02,3.04,7.69,0.34
1774593522,0.21,9.04,5.58,113.10,3.04,7.69,0.34
1774593523,0.21,9.04,5.58,113.13,3.04,7.69,0.34
1774593524,0.21,9.04,5.58,113.13,3.04,7.69,0.34
1774593525,0.21,9.05,5.58,113.22,3.04,7.71,0.34
1774593526,0.21,9.05,5.58,113.26,3.04,7.78,0.35
1774593527,0.21,9.06,5.58,113.30,3.04,7.86,0.35
1774593528,0.21,9.07,5.58,113.34,3.04,7.93,0.35
1774593529,0.21,9.08,5.58,113.41,3.04,8.00,0.35
1774593530,0.21,9.09,5.58,113.46,3.04,8.07,0.35
1774593531,0.21,9.09,5.58,113.53,3.04,8.17,0.35
1774593532,0.21,9.10,5.58,113.61,3.04,8.24,0.35
1774593533,0.21,9.11,5.58,113.65,3.04,8.31,0.36
1774593534,0.21,9.12,5.58,113.70,3.04,8.38,0.36
1774593535,0.21,9.12,5.58,113.74,3.04,8.46,0.36
1774593536,0.21,9.13,5.58,113.78,3.04,8.53,0.36
1774593537,0.21,9.14,5.58,113.82,3.04,8.60,0.36
1774593538,0.21,9.15,5.58,113.85,3.04,8.67,0.36
1774593539,0.21,9.15,5.58,113.89,3.04,8.75,0.36
1774593540,0.21,9.16,5.58,114.12,3.04,8.83,0.37
1774593541,0.21,9.17,5.58,114.16,3.04,8.90,0.37
1774593542,0.21,9.18,5.58,114.22,3.04,8.97,0.37
1774593543,0.21,9.19,5.58,114.28,3.04,9.04,0.37
1774593544,0.21,9.19,5.58,114.34,3.04,9.11,0.37
1774593545,0.21,9.20,5.58,114.40,3.04,9.18,0.37
1774593546,0.21,9.21,5.58,114.50,3.04,9.25,0.37
1774593547,0.21,9.22,5.58,114.56,3.04,9.32,0.38
1774593548,0.21,9.22,5.58,114.62,3.04,9.39,0.38
1774593549,0.21,9.23,5.58,114.69,3.04,9.46,0.38
1774593550,0.21,9.24,5.58,114.78,3.04,9.53,0.38
1774593551,0.21,9.25,5.58,114.89,3.04,9.61,0.38
1774593552,0.21,9.25,5.58,114.96,3.04,9.68,0.38
1774593553,0.21,9.26,5.58,115.03,3.04,9.75,0.38
1774593554,0.21,9.27,5.58,115.08,3.04,9.82,0.39
1774593555,0.21,9.28,5.58,115.14,3.04,9.89,0.39
1774593556,0.21,9.28,5.58,115.18,3.04,9.96,0.39
1774593557,0.21,9.29,5.58,116.17,3.04,10.05,0.39
1774593558,0.21,9.54,5.58,116.63,3.04,9.81,0.39
1774593559,0.21,9.68,5.58,117.14,3.04,9.67,0.39
1774593560,0.21,9.71,5.58,117.69,3.04,9.70,0.39
1774593561,0.21,9.73,5.58,118.10,3.05,9.73,0.39
1774593562,0.21,9.74,5.58,118.19,3.07,9.74,0.40
1774593563,0.21,9.75,5.58,118.25,3.10,9.77,0.40
1774593564,0.21,9.77,5.58,118.44,3.12,9.76,0.40
1774593565,0.21,9.77,5.58,118.73,3.12,9.76,0.40
1774593566,0.21,9.79,5.58,118.93,3.12,9.75,0.40
1774593567,0.21,9.79,5.60,118.94,3.10,9.75,0.40
1774593568,0.21,9.79,5.66,118.94,3.09,9.75,0.40
1774593569,0.21,9.79,5.70,118.94,3.08,9.75,0.40
1774593570,0.21,9.79,5.72,119.57,3.07,9.75,0.40
1774593571,0.22,9.80,6.00,119.69,3.02,9.78,0.40
1774593572,0.22,9.80,6.06,119.74,3.00,9.77,0.40
1774593573,0.22,9.80,6.06,119.74,2.99,9.77,0.40
1774593574,0.22,9.80,6.06,119.74,2.99,9.77,0.40
1774593575,0.22,9.80,6.10,119.90,2.97,9.77,0.40
1774593576,0.23,9.80,6.11,119.98,2.95,9.77,0.40
1774593577,0.23,9.81,6.13,120.04,2.93,9.77,0.40
1774593578,0.23,9.81,6.13,120.03,2.93,9.77,0.40
1774593579,0.23,9.81,6.13,120.03,2.93,9.77,0.40
1774593580,0.23,9.81,6.14,120.21,2.93,9.76,0.40
1774593581,0.23,9.81,6.14,120.25,2.93,9.76,0.40
1774593582,0.23,9.81,6.14,120.25,2.93,9.76,0.40
1774593583,0.23,9.81,6.14,120.24,2.93,9.76,0.40
1774593584,0.23,9.82,6.16,120.52,2.92,9.75,0.40
1774593585,0.23,9.83,6.16,120.69,2.95,9.77,0.40
1774593586,0.23,9.84,6.18,120.97,2.97,9.77,0.40
1774593587,0.23,9.85,6.18,121.09,2.97,9.76,0.41
1774593588,0.23,9.85,6.18,121.28,2.96,9.76,0.41
1774593589,0.23,9.85,6.18,121.34,2.96,9.76,0.41
1774593590,0.23,9.86,6.19,121.41,2.95,9.76,0.41
1774593591,0.23,9.86,6.21,121.40,2.94,9.76,0.41
1774593592,0.23,9.86,6.21,121.40,2.94,9.76,0.41
1774593593,0.23,9.86,6.21,121.42,2.94,9.76,0.41
1774593594,0.23,9.86,6.21,121.90,2.93,9.76,0.41
1774593595,0.23,9.86,6.21,121.94,2.93,9.76,0.41
1774593596,0.23,9.86,6.21,121.94,2.93,9.76,0.41
1774593597,0.23,9.86,6.21,121.99,2.93,9.76,0.41
1774593598,0.23,9.86,6.21,122.03,2.93,9.76,0.41
1774593599,0.23,9.86,6.21,122.05,2.93,9.76,0.41
1774593600,0.23,9.86,6.21,122.11,2.93,9.75,0.41
1774593601,0.23,9.86,6.21,122.11,2.93,9.75,0.41
1774593602,0.24,9.86,6.21,122.11,2.93,9.75,0.41
1774593603,0.24,9.86,6.21,122.59,2.93,9.75,0.41
1774593604,0.24,9.86,6.21,122.65,2.93,9.75,0.41
1774593605,0.24,9.86,6.21,122.64,2.93,9.75,0.41
1774593606,0.24,9.87,6.21,122.84,2.93,9.75,0.41
1774593607,0.24,9.88,6.22,123.25,2.93,9.75,0.41
1774593608,0.24,9.89,6.23,123.31,2.97,9.75,0.41
1774593609,0.24,9.90,6.23,123.46,3.00,9.75,0.41
1774593610,0.24,9.91,6.24,123.58,3.04,9.76,0.41
1774593611,0.24,9.92,6.25,123.72,3.07,9.77,0.41
1774593612,0.24,9.94,6.25,123.84,3.09,9.76,0.41
1774593613,0.24,9.94,6.25,123.96,3.09,9.76,0.41
1774593614,0.24,9.94,6.25,123.96,3.09,9.76,0.41
1774593615,0.24,9.94,6.25,123.95,3.09,9.76,0.41
1774593616,0.24,9.95,6.26,124.03,3.08,9.75,0.41
1774593617,0.24,9.95,6.26,124.06,3.08,9.75,0.41
