timestamp,mem_available
1774593502,94.57
1774593503,94.73
1774593504,95.32
1774593505,95.40
1774593506,95.40
1774593507,94.98
1774593508,95.20
1774593509,95.68
1774593510,95.47
1774593511,95.43
1774593512,95.47
1774593513,95.48
1774593514,95.48
1774593515,95.49
1774593516,95.05
1774593517,94.96
1774593518,95.11
1774593519,95.03
1774593520,95.09
1774593521,95.13
1774593522,94.79
1774593523,94.78
1774593524,95.37
1774593525,95.47
1774593526,95.60
1774593527,95.62
1774593528,95.68
1774593529,95.76
1774593530,95.86
1774593531,95.85
1774593532,95.88
1774593533,95.87
1774593534,95.86
1774593535,95.85
1774593536,95.86
1774593537,95.86
1774593538,95.86
1774593539,95.84
1774593540,95.87
1774593541,95.86
1774593542,95.85
1774593543,95.83
1774593544,95.82
1774593545,95.80
1774593546,95.77
1774593547,95.79
1774593548,95.78
1774593549,95.75
1774593550,95.79
1774593551,95.79
1774593552,95.83
1774593553,95.81
1774593554,95.80
1774593555,95.83
1774593556,95.81
1774593557,95.82
1774593558,95.77
1774593559,95.56
1774593560,95.54
1774593561,95.38
1774593562,95.36
1774593563,95.36
1774593564,95.36
1774593565,95.06
1774593566,95.13
1774593567,95.28
1774593568,95.38
1774593569,95.44
1774593570,95.41
1774593571,95.41
1774593572,94.92
1774593573,94.83
1774593574,95.36
1774593575,95.16
1774593576,94.96
1774593577,95.06
1774593578,95.02
1774593579,94.96
1774593580,95.04
1774593581,94.97
1774593582,94.96
1774593583,95.03
1774593584,95.15
1774593585,95.17
1774593586,95.36
1774593587,95.55
1774593588,95.56
1774593589,95.56
1774593590,95.54
1774593591,95.64
1774593592,95.76
1774593593,95.63
1774593594,94.96
1774593595,94.86
1774593596,94.91
1774593597,94.43
1774593598,94.38
1774593599,94.57
1774593600,94.73
1774593601,94.85
1774593602,95.12
1774593603,94.83
1774593604,94.93
1774593605,94.95
1774593607,95.07
1774593608,95.07
1774593609,95.08
1774593610,95.10
1774593611,95.15
1774593612,95.19
1774593613,95.39
1774593614,94.77
1774593615,94.71
1774593616,94.83
1774593617,95.08
1774593618,95.26
1774593619,95.57
1774593620,95.24
1774593621,95.24
1774593622,95.32
1774593623,95.18
1774593624,94.75
1774593625,94.94
1774593626,94.79
1774593627,94.60
1774593628,94.69
1774593629,94.80
1774593630,94.56
1774593631,94.37
1774593632,94.28
1774593633,94.54
1774593634,94.72
1774593635,94.82
1774593636,95.04
1774593637,94.99
1774593638,95.01
1774593639,94.73
1774593640,94.73
1774593641,94.84
1774593642,94.97
1774593643,95.14
1774593644,95.17
1774593645,95.27
1774593646,95.10
1774593647,94.92
1774593648,94.93
1774593649,94.86
1774593650,95.13
1774593651,95.11
1774593652,95.45
1774593653,94.71
1774593654,94.67
1774593655,94.86
1774593656,94.55
1774593657,94.48
1774593658,94.82
1774593659,94.92
1774593660,94.51
1774593661,94.57
1774593662,95.05
1774593663,95.32
1774593664,95.18
1774593665,95.48
1774593666,95.56
1774593667,95.14
1774593668,95.39
1774593669,95.43
1774593670,95.17
1774593671,95.03
1774593672,94.93
1774593673,95.06
1774593674,94.57
1774593675,94.73
1774593676,95.17
1774593677,95.43
1774593678,95.05
1774593679,94.85
1774593680,95.04
1774593681,94.91
1774593682,94.96
1774593683,94.64
1774593684,94.70
1774593685,95.01
