timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774591960,7,58,61
1774591961,7,58,61
1774591962,7,58,61
1774591963,7,58,61
1774591964,7,58,61
1774591965,7,58,61
1774591966,7,58,61
1774591967,7,58,61
1774591968,7,58,61
1774591969,7,58,61
1774591970,7,58,61
1774591971,7,58,61
1774591972,7,58,61
1774591973,7,58,61
1774591974,7,58,61
1774591975,7,58,61
1774591976,7,58,61
1774591977,7,58,61
1774591978,7,58,61
1774591979,7,58,61
1774591980,7,58,61
1774591981,7,58,61
1774591982,7,58,61
1774591983,7,58,61
1774591984,7,58,61
1774591985,7,58,61
1774591986,7,58,61
1774591987,7,58,61
1774591988,7,58,61
1774591989,7,58,61
1774591990,7,58,61
1774591991,7,58,61
1774591992,7,58,61
1774591993,7,58,61
1774591994,7,58,61
1774591995,7,58,61
1774591996,7,58,61
1774591997,7,58,61
1774591998,7,58,61
1774591999,7,58,61
1774592000,7,58,61
1774592001,7,58,61
1774592002,7,58,61
1774592003,7,58,61
1774592004,7,58,61
1774592005,7,58,61
1774592006,7,58,61
1774592007,7,58,61
1774592008,7,58,61
1774592009,7,58,61
1774592010,7,58,61
1774592011,7,58,61
1774592012,7,58,61
1774592013,7,58,61
1774592014,7,58,61
1774592015,7,58,61
1774592016,7,58,61
1774592017,7,58,61
1774592018,7,58,61
1774592019,7,58,61
1774592020,7,58,61
1774592021,7,58,61
1774592022,7,58,61
1774592023,7,58,61
1774592024,7,58,61
1774592025,7,58,61
1774592026,7,58,61
1774592027,7,58,61
1774592028,7,58,61
1774592029,7,58,61
1774592030,7,58,61
1774592031,7,58,61
1774592032,7,58,61
1774592033,7,58,61
1774592034,7,58,61
1774592035,7,58,61
1774592036,7,58,61
1774592037,7,58,61
1774592038,7,58,61
1774592039,7,58,61
1774592040,7,58,61
1774592041,7,58,61
1774592042,7,58,61
1774592043,7,58,61
1774592044,7,58,61
1774592045,7,58,61
1774592046,7,58,61
1774592047,7,58,61
1774592048,7,58,61
1774592049,7,58,61
1774592050,7,58,61
1774592051,7,58,61
1774592052,7,58,61
1774592053,7,58,61
1774592054,7,58,61
1774592055,7,58,61
1774592056,7,58,61
1774592057,7,58,61
1774592058,7,58,61
1774592059,7,58,61
1774592060,7,58,61
1774592061,7,58,61
1774592062,7,58,61
1774592063,7,58,61
1774592064,7,58,61
1774592065,7,58,61
1774592066,7,58,61
1774592067,7,58,61
1774592068,7,58,61
1774592069,7,58,61
1774592070,7,58,61
1774592071,7,58,61
1774592072,7,58,61
1774592073,7,58,61
1774592074,7,58,61
1774592075,7,58,61
1774592076,7,58,61
1774592077,6,58,61
1774592078,6,58,61
1774592079,6,58,61
1774592080,6,58,61
1774592081,6,58,61
1774592082,6,58,61
1774592083,6,58,61
1774592084,6,58,61
1774592085,6,58,61
1774592086,6,58,61
1774592087,6,58,61
1774592088,6,58,61
1774592089,6,58,61
1774592090,6,58,61
1774592091,6,58,61
1774592092,6,58,61
1774592093,6,58,61
1774592094,6,58,61
1774592095,6,58,61
1774592096,6,58,61
1774592097,6,58,61
1774592098,6,58,61
1774592099,6,58,61
1774592100,6,58,61
1774592101,6,58,61
1774592102,6,58,61
1774592103,6,58,61
