timestamp,mem_available
1774591960,94.72
1774591961,94.68
1774591962,94.86
1774591963,95.10
1774591964,94.80
1774591965,94.77
1774591966,95.02
1774591967,94.48
1774591968,94.51
1774591969,94.89
1774591970,94.95
1774591971,95.00
1774591972,95.00
1774591973,95.05
1774591974,95.10
1774591975,95.10
1774591976,95.22
1774591977,95.51
1774591978,95.44
1774591979,95.53
1774591980,95.65
1774591981,95.21
1774591982,94.97
1774591983,95.09
1774591984,95.38
1774591985,95.40
1774591986,95.45
1774591987,95.47
1774591988,95.00
1774591989,94.98
1774591990,94.90
1774591991,94.99
1774591992,95.24
1774591993,95.11
1774591994,94.70
1774591995,94.79
1774591996,95.28
1774591997,95.17
1774591998,94.79
1774591999,95.15
1774592000,95.22
1774592001,94.97
1774592002,95.20
1774592003,95.17
1774592004,94.96
1774592005,95.10
1774592006,94.76
1774592007,94.72
1774592008,94.80
1774592009,94.36
1774592010,94.40
1774592011,94.59
1774592012,94.46
1774592013,94.99
1774592014,95.36
1774592015,94.98
1774592016,95.37
1774592017,94.89
1774592018,95.15
1774592019,95.16
1774592020,94.73
1774592021,94.84
1774592022,94.95
1774592023,94.54
1774592024,94.51
1774592025,94.83
1774592026,94.53
1774592027,94.62
1774592028,94.60
1774592029,94.80
1774592030,94.98
1774592031,94.95
1774592032,95.12
1774592033,95.18
1774592034,95.22
1774592035,95.14
1774592036,95.10
1774592037,95.28
1774592038,95.53
1774592039,94.90
1774592040,94.95
1774592041,95.14
1774592042,95.10
1774592043,94.76
1774592044,94.89
1774592045,95.03
1774592046,95.07
1774592047,95.45
1774592048,95.32
1774592049,95.01
1774592050,95.03
1774592051,95.10
1774592052,95.30
1774592053,95.36
1774592054,95.34
1774592055,95.02
1774592056,94.92
1774592057,94.90
1774592058,94.96
1774592059,95.04
1774592060,95.05
1774592061,95.09
1774592062,95.00
1774592063,95.06
1774592064,95.04
1774592065,95.29
1774592066,95.26
1774592067,94.79
1774592068,94.91
1774592069,95.24
1774592070,94.73
1774592071,94.69
1774592072,94.33
1774592073,94.18
1774592074,94.63
1774592075,94.29
1774592076,94.37
1774592077,95.29
1774592078,95.42
1774592079,95.51
1774592080,95.63
1774592081,95.74
1774592082,95.82
1774592083,95.87
1774592084,95.96
1774592085,95.99
1774592086,96.06
1774592087,96.12
1774592088,96.13
1774592089,96.18
1774592090,96.22
1774592091,96.25
1774592092,96.27
1774592093,96.27
1774592094,96.29
1774592095,96.29
1774592096,96.30
1774592097,96.33
1774592098,96.33
1774592099,96.34
1774592100,96.34
1774592101,96.34
1774592102,96.36
1774592103,96.36
1774592104,96.36
1774592105,96.41
1774592106,96.49
1774592107,96.49
1774592108,96.49
1774592109,96.49
1774592110,96.48
1774592111,96.48
1774592112,96.48
1774592113,96.47
1774592114,96.47
1774592115,96.47
1774592116,96.47
1774592117,96.47
1774592118,96.47
1774592119,96.47
1774592120,96.47
1774592121,96.47
1774592122,96.47
1774592123,96.47
1774592124,96.47
1774592125,96.47
1774592126,96.47
1774592127,96.48
1774592128,96.52
1774592129,96.51
1774592130,96.51
1774592131,96.50
1774592132,96.50
1774592133,96.50
1774592134,96.50
1774592135,96.50
1774592136,96.49
1774592137,96.49
1774592138,96.49
1774592139,96.49
1774592140,96.49
1774592141,96.49
1774592142,96.49
1774592143,96.49
1774592144,96.49
1774592145,96.48
1774592146,96.48
1774592148,96.48
1774592149,96.49
1774592150,96.48
1774592151,96.48
1774592152,96.48
1774592153,96.48
1774592154,96.48
1774592155,96.48
1774592156,96.48
1774592157,96.48
1774592158,96.48
1774592159,96.48
1774592160,96.48
1774592161,96.48
1774592162,96.48
1774592163,96.48
1774592164,96.48
1774592165,96.48
1774592166,96.47
1774592167,96.47
1774592168,96.47
1774592169,96.47
1774592170,96.47
1774592171,96.47
1774592172,96.47
1774592173,96.47
1774592174,96.47
1774592175,96.47
1774592176,96.51
1774592177,96.51
1774592178,96.51
1774592179,96.51
1774592180,96.51
1774592181,96.51
1774592182,96.51
1774592183,96.51
1774592184,96.51
1774592185,96.50
1774592186,96.50
1774592187,96.50
1774592188,96.50
1774592189,96.50
1774592190,96.50
1774592191,96.50
1774592192,96.49
1774592193,96.49
1774592194,96.49
1774592195,96.49
1774592196,96.53
1774592197,96.53
1774592198,96.53
1774592199,96.53
1774592200,96.53
1774592201,96.53
1774592202,96.52
1774592203,96.52
1774592204,96.52
1774592205,96.52
1774592206,96.52
1774592207,96.52
1774592208,96.51
1774592209,96.51
1774592210,96.51
1774592211,96.50
1774592212,96.50
1774592213,96.50
1774592214,96.50
1774592215,96.50
1774592216,96.50
1774592217,96.50
1774592218,96.55
1774592219,96.55
1774592220,96.55
1774592221,96.55
1774592222,96.55
1774592223,96.55
1774592224,96.55
1774592225,96.55
1774592226,96.55
1774592227,96.55
1774592228,96.55
1774592229,96.55
1774592230,96.55
1774592231,96.57
1774592232,96.57
1774592233,96.57
1774592234,96.57
1774592235,96.57
1774592236,96.57
1774592237,96.57
1774592238,96.57
1774592239,96.56
1774592240,96.56
1774592241,96.56
1774592242,96.55
1774592243,96.55
1774592244,96.55
1774592245,96.55
1774592246,96.55
1774592247,96.55
1774592248,96.55
1774592249,96.55
1774592250,96.55
1774592251,96.55
1774592252,96.55
1774592253,96.54
1774592254,96.54
1774592255,96.54
1774592256,96.54
1774592257,96.54
1774592258,96.54
1774592259,96.54
1774592260,96.54
1774592261,96.54
1774592262,96.53
1774592263,96.53
1774592264,96.53
1774592265,96.53
1774592266,96.58
1774592267,96.58
1774592268,96.58
1774592269,96.58
1774592270,96.58
1774592271,96.58
1774592272,96.58
1774592273,96.58
1774592274,96.58
1774592275,96.58
1774592276,96.57
1774592277,96.57
1774592278,96.57
1774592279,96.57
1774592280,96.57
1774592281,96.57
1774592282,96.57
1774592283,96.57
1774592284,96.57
1774592285,96.57
1774592286,96.57
1774592287,96.57
1774592288,96.57
1774592289,96.57
1774592290,96.56
1774592291,96.56
1774592292,96.56
1774592293,96.56
1774592294,96.56
1774592295,96.56
1774592296,96.55
1774592297,96.55
1774592298,96.55
1774592299,96.55
1774592300,96.55
1774592301,96.54
1774592302,96.54
1774592303,96.54
1774592304,96.54
1774592305,96.54
1774592306,96.54
1774592307,96.54
1774592308,96.54
1774592309,96.53
1774592310,96.53
1774592311,96.53
1774592312,96.53
1774592313,96.53
1774592314,96.53
1774592315,96.53
1774592316,96.53
1774592317,96.53
1774592318,96.53
1774592319,96.53
1774592320,96.53
1774592321,96.53
1774592322,96.54
1774592323,96.59
1774592324,96.58
1774592325,96.58
1774592326,96.58
1774592327,96.58
1774592328,96.58
1774592329,96.58
1774592330,96.58
1774592331,96.57
1774592332,96.57
1774592333,96.57
1774592334,96.57
1774592335,96.57
1774592336,96.57
1774592337,96.57
1774592338,96.57
1774592339,96.56
1774592340,96.56
1774592341,96.56
1774592342,96.56
1774592343,96.56
1774592345,96.55
1774592346,96.55
1774592347,96.55
1774592348,96.55
1774592349,96.55
1774592350,96.54
1774592351,96.54
1774592352,96.54
1774592353,96.54
1774592354,96.59
1774592355,96.59
1774592356,96.61
1774592357,96.60
1774592358,96.60
1774592359,96.60
1774592360,96.60
1774592361,96.60
1774592362,96.60
1774592363,96.60
1774592364,96.60
1774592365,96.59
1774592366,96.59
1774592367,96.59
1774592368,96.59
1774592369,96.59
1774592370,96.59
1774592371,96.59
1774592372,96.59
1774592373,96.59
1774592374,96.59
1774592375,96.59
1774592376,96.59
1774592377,96.59
1774592378,96.59
1774592379,96.59
1774592380,96.59
1774592381,96.58
1774592382,96.58
1774592383,96.58
1774592384,96.58
1774592385,96.58
1774592386,96.58
1774592387,96.58
1774592388,96.58
1774592389,96.58
1774592390,96.58
1774592391,96.58
1774592392,96.62
1774592393,96.61
1774592394,96.61
1774592395,96.61
1774592396,96.61
1774592397,96.60
1774592398,96.60
1774592399,96.63
1774592400,96.64
1774592401,96.68
1774592402,96.68
1774592403,96.68
1774592404,96.68
1774592405,96.68
1774592406,96.68
1774592407,96.67
1774592408,96.67
1774592409,96.67
1774592410,96.67
1774592411,96.67
1774592412,96.67
1774592413,96.67
1774592414,96.69
1774592415,96.68
1774592416,96.68
1774592417,96.68
1774592418,96.68
1774592419,96.68
1774592420,96.68
1774592421,96.67
1774592422,96.67
1774592423,96.67
1774592424,96.67
1774592425,96.67
1774592426,96.67
1774592427,96.67
1774592428,96.67
1774592429,96.66
1774592430,96.66
1774592431,96.66
1774592432,96.66
1774592433,96.66
1774592434,96.66
1774592435,96.66
1774592436,96.66
1774592437,96.66
1774592438,96.65
1774592439,96.65
1774592440,96.65
1774592441,96.65
1774592442,96.65
1774592443,96.65
1774592444,96.65
1774592445,96.65
1774592446,96.64
1774592447,96.64
1774592448,96.64
1774592449,96.64
1774592450,96.64
1774592451,96.64
1774592452,96.64
1774592453,96.64
1774592454,96.63
1774592455,96.63
1774592456,96.63
1774592457,96.63
1774592458,96.63
1774592459,96.63
1774592460,96.63
1774592461,96.63
1774592462,96.62
1774592463,96.62
1774592464,96.62
1774592465,96.62
1774592466,96.62
1774592467,96.62
1774592468,96.62
1774592469,96.62
1774592470,96.62
1774592471,96.61
1774592472,96.61
1774592473,96.60
1774592474,96.60
1774592475,96.60
1774592476,96.60
1774592477,96.60
1774592478,96.60
1774592479,96.60
1774592480,96.60
1774592481,96.60
1774592482,96.60
1774592483,96.60
1774592484,96.59
1774592485,96.59
1774592486,96.59
