timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1774506683,6,58,61
1774506684,6,58,61
1774506685,6,58,61
1774506686,6,58,61
1774506687,6,58,61
1774506688,6,58,61
1774506689,6,58,61
1774506690,6,58,61
1774506691,6,58,61
1774506692,6,58,61
1774506693,6,58,61
1774506694,6,58,61
1774506695,6,58,61
1774506696,6,58,61
1774506697,6,58,61
1774506698,6,58,61
1774506699,6,58,61
1774506700,6,58,61
1774506701,6,58,61
1774506702,6,58,61
1774506703,6,58,61
1774506704,6,58,61
1774506705,6,58,61
1774506706,6,58,61
1774506707,6,58,61
1774506708,6,58,61
1774506709,6,58,61
1774506710,6,58,61
1774506711,6,58,61
1774506712,6,58,61
1774506713,6,58,61
1774506714,6,58,61
1774506715,6,58,61
1774506716,6,58,61
1774506717,6,58,61
1774506718,6,58,61
1774506719,6,58,61
1774506720,6,58,61
1774506721,6,58,61
1774506722,6,58,61
1774506723,6,58,61
1774506724,6,58,61
1774506725,6,58,61
1774506726,6,58,61
1774506727,6,58,61
1774506729,6,58,61
1774506730,6,58,61
1774506731,6,58,61
1774506732,6,58,61
1774506733,6,58,61
1774506734,6,58,61
1774506735,6,58,61
1774506736,6,58,61
1774506737,6,58,61
1774506738,6,58,61
1774506739,6,58,61
1774506740,6,58,61
1774506741,6,58,61
1774506742,6,58,61
1774506743,6,58,61
1774506744,6,58,61
1774506745,6,58,61
1774506746,6,58,61
1774506747,6,58,61
1774506748,6,58,61
1774506749,6,58,61
1774506750,6,58,61
1774506751,6,58,61
1774506752,6,58,61
1774506753,6,58,61
1774506754,6,58,61
1774506755,6,58,61
1774506756,6,58,61
1774506757,6,58,61
1774506758,6,58,61
1774506759,6,58,61
1774506760,6,58,61
1774506761,6,58,61
1774506762,6,58,61
1774506763,6,58,61
1774506764,6,58,61
1774506765,6,58,61
1774506766,6,58,61
1774506767,6,58,61
1774506768,6,58,61
1774506769,6,58,61
1774506770,6,58,61
1774506771,6,58,61
1774506772,6,58,61
1774506773,6,58,61
1774506774,6,58,61
1774506775,6,58,61
1774506776,6,58,61
1774506777,6,58,61
1774506778,6,58,61
1774506779,6,58,61
1774506780,6,58,61
1774506781,6,58,61
1774506782,6,58,61
1774506783,6,58,61
1774506784,6,58,61
1774506785,6,58,61
1774506786,6,58,61
1774506787,6,58,61
1774506788,6,58,61
1774506789,6,58,61
1774506790,6,58,61
1774506791,6,58,61
1774506792,6,58,61
1774506793,6,58,61
1774506794,6,58,61
1774506795,6,58,61
1774506796,6,58,61
1774506797,6,58,61
1774506798,6,58,61
1774506799,7,58,61
1774506800,7,58,61
1774506801,7,58,61
1774506802,7,58,61
1774506803,7,58,61
1774506804,7,58,61
1774506805,7,58,61
1774506806,7,58,61
1774506807,7,58,61
1774506808,7,58,61
1774506809,7,58,61
1774506811,7,58,61
1774506812,7,58,61
1774506813,7,58,61
1774506814,7,58,61
1774506815,7,58,61
1774506816,7,58,61
1774506817,7,58,61
1774506818,7,58,61
1774506819,7,58,61
1774506820,7,58,61
1774506821,7,58,61
1774506822,7,58,61
1774506823,7,58,61
1774506824,7,58,61
1774506825,7,58,61
1774506826,7,58,61
1774506827,7,58,61
1774506828,7,58,61
1774506829,7,58,61
1774506830,7,58,61
1774506831,7,58,61
1774506832,7,58,61
1774506833,7,58,61
1774506834,7,58,61
1774506835,7,58,61
1774506836,7,58,61
1774506837,7,58,61
1774506838,7,58,61
1774506839,7,58,61
1774506840,7,58,61
1774506841,7,58,61
1774506842,7,58,61
1774506843,7,58,61
1774506844,7,58,61
1774506845,7,58,61
1774506846,7,58,61
1774506847,7,58,61
1774506848,7,58,61
1774506849,7,58,61
1774506850,7,58,61
1774506851,7,58,61
1774506852,7,58,61
1774506853,7,58,61
1774506854,7,58,61
1774506855,7,58,61
1774506856,7,58,61
1774506857,7,58,61
1774506858,7,58,61
1774506859,7,58,61
1774506860,7,58,61
1774506861,7,58,61
1774506862,7,58,61
1774506863,7,58,61
1774506864,7,58,61
1774506865,7,58,61
1774506866,7,58,61
1774506867,7,58,61
1774506868,7,58,61
1774506869,7,58,61
1774506870,7,58,61
1774506871,7,58,61
1774506872,7,58,61
1774506873,7,58,61
1774506874,7,58,61
1774506875,7,58,61
1774506876,7,58,61
1774506877,6,58,61
1774506878,6,58,61
1774506879,6,58,61
1774506881,6,58,61
1774506882,6,58,61
1774506883,6,58,61
1774506884,6,58,61
1774506885,6,58,61
1774506886,6,58,61
1774506887,6,58,61
1774506888,6,58,61
1774506889,6,58,61
1774506890,6,58,61
1774506891,6,58,61
1774506892,6,58,61
1774506893,6,58,61
1774506894,6,58,61
1774506895,6,58,61
1774506896,6,58,61
1774506897,6,58,61
1774506898,6,58,61
1774506899,6,58,61
1774506900,6,58,61
1774506901,6,58,61
1774506902,6,58,61
1774506903,6,58,61
1774506904,6,58,61
1774506905,6,58,61
1774506906,6,58,61
