timestamp,r_iops,w_iops,r_kB_s,w_kB_s,r_await_ms,w_await_ms,util_percent
1774506650,0.32,63.26,6.87,8325.28,2.78,6.37,5.56
1774506651,0.32,63.26,6.87,8325.15,2.78,6.37,5.56
1774506652,0.32,63.26,6.87,8325.01,2.78,6.37,5.56
1774506653,0.32,63.26,6.87,8324.92,2.78,6.37,5.56
1774506654,0.32,63.26,6.87,8324.84,2.78,6.37,5.56
1774506655,0.32,63.26,6.87,8324.69,2.78,6.37,5.56
1774506656,0.32,63.26,6.87,8324.55,2.78,6.37,5.56
1774506657,0.32,63.26,6.87,8324.45,2.78,6.37,5.56
1774506658,0.32,63.26,6.87,8324.30,2.78,6.37,5.56
1774506659,0.32,63.26,6.87,8324.16,2.78,6.37,5.56
1774506660,0.32,63.26,6.87,8324.01,2.78,6.37,5.56
1774506661,0.32,63.25,6.87,8323.87,2.78,6.37,5.56
1774506662,0.32,63.25,6.87,8323.72,2.78,6.37,5.56
1774506663,0.32,63.25,6.87,8323.58,2.78,6.37,5.56
1774506664,0.32,63.25,6.87,8323.44,2.78,6.37,5.56
1774506665,0.32,63.25,6.87,8323.29,2.78,6.37,5.56
1774506666,0.32,63.25,6.87,8323.15,2.78,6.37,5.56
1774506667,0.32,63.25,6.87,8323.00,2.78,6.37,5.56
1774506668,0.32,63.25,6.87,8322.90,2.78,6.37,5.56
1774506669,0.32,63.25,6.87,8322.75,2.78,6.37,5.56
1774506670,0.32,63.25,6.87,8322.61,2.78,6.37,5.56
1774506671,0.32,63.25,6.87,8323.52,2.78,6.38,5.56
1774506672,0.32,63.25,6.87,8323.38,2.78,6.38,5.56
1774506673,0.32,63.25,6.87,8323.28,2.78,6.38,5.56
1774506674,0.32,63.25,6.87,8323.14,2.78,6.38,5.56
1774506675,0.32,63.25,6.87,8323.11,2.78,6.38,5.56
1774506676,0.32,63.25,6.87,8323.10,2.78,6.38,5.56
1774506677,0.32,63.25,6.87,8323.00,2.78,6.38,5.56
1774506678,0.32,63.25,6.87,8322.85,2.78,6.38,5.56
1774506679,0.32,63.25,6.87,8322.74,2.78,6.38,5.56
1774506680,0.32,63.26,6.87,8322.77,2.78,6.38,5.56
1774506681,0.32,63.27,6.87,8322.99,2.78,6.38,5.56
1774506682,0.32,63.28,6.87,8322.97,2.78,6.38,5.56
1774506683,0.32,63.28,6.87,8322.94,2.78,6.38,5.56
1774506684,0.32,63.28,6.87,8322.84,2.78,6.38,5.56
1774506685,0.32,63.28,6.87,8322.74,2.78,6.38,5.56
1774506686,0.32,63.28,6.87,8322.60,2.78,6.38,5.56
1774506687,0.33,63.28,6.87,8322.68,2.77,6.38,5.56
1774506688,0.33,63.30,6.87,8322.98,2.77,6.38,5.56
1774506689,0.33,63.31,6.87,8322.92,2.77,6.38,5.56
1774506690,0.33,63.31,6.87,8322.79,2.77,6.38,5.56
1774506691,0.33,63.31,6.87,8322.74,2.77,6.38,5.56
1774506692,0.33,63.31,6.87,8322.64,2.77,6.38,5.56
1774506693,0.33,63.31,6.87,8322.50,2.77,6.38,5.56
1774506694,0.33,63.31,6.87,8322.47,2.77,6.38,5.56
1774506695,0.33,63.31,6.87,8322.32,2.77,6.38,5.56
1774506696,0.33,63.31,6.87,8322.32,2.77,6.38,5.56
1774506697,0.33,63.31,6.87,8322.18,2.77,6.38,5.56
1774506698,0.33,63.31,6.87,8322.03,2.77,6.38,5.56
1774506699,0.33,63.31,6.88,8322.17,2.77,6.38,5.56
1774506700,0.33,63.32,6.88,8322.19,2.78,6.39,5.56
1774506701,0.33,63.33,6.89,8322.16,2.79,6.39,5.56
1774506702,0.33,63.34,6.89,8322.21,2.80,6.40,5.56
1774506703,0.33,63.34,6.89,8322.17,2.82,6.40,5.56
1774506704,0.33,63.38,6.89,8322.27,2.82,6.41,5.57
1774506705,0.33,63.39,6.89,8322.26,2.82,6.41,5.57
1774506706,0.33,63.39,6.89,8322.16,2.82,6.41,5.57
1774506707,0.33,63.39,6.89,8322.01,2.82,6.41,5.57
1774506708,0.33,63.39,6.89,8321.87,2.82,6.41,5.57
1774506709,0.33,63.40,6.89,8322.10,2.82,6.42,5.57
1774506710,0.33,63.42,6.90,8322.07,2.83,6.42,5.57
1774506711,0.33,63.42,6.90,8322.02,2.83,6.42,5.57
1774506712,0.33,63.42,6.90,8321.92,2.83,6.42,5.57
1774506713,0.33,63.41,6.90,8321.77,2.83,6.42,5.57
1774506714,0.33,63.41,6.90,8321.63,2.83,6.42,5.57
1774506715,0.33,63.42,6.90,8321.63,2.83,6.42,5.57
1774506716,0.33,63.42,6.90,8321.54,2.83,6.42,5.57
1774506717,0.33,63.42,6.90,8321.40,2.83,6.42,5.57
1774506718,0.33,63.42,6.90,8321.26,2.83,6.42,5.57
1774506719,0.33,63.43,6.90,8321.48,2.83,6.42,5.57
1774506720,0.33,63.43,6.90,8321.41,2.83,6.41,5.57
1774506721,0.33,63.43,6.90,8321.37,2.83,6.41,5.57
1774506722,0.33,63.43,6.90,8321.27,2.83,6.41,5.57
1774506723,0.33,63.43,6.90,8321.12,2.83,6.41,5.57
1774506724,0.33,63.43,6.90,8320.98,2.83,6.41,5.57
1774506725,0.33,63.44,6.90,8321.14,2.83,6.41,5.57
1774506726,0.33,63.44,6.90,8321.09,2.83,6.41,5.57
1774506727,0.33,63.44,6.90,8321.00,2.83,6.41,5.57
1774506728,0.33,63.44,6.90,8320.86,2.83,6.41,5.57
1774506729,0.33,63.44,6.90,8320.72,2.83,6.41,5.57
1774506730,0.33,63.44,6.90,8320.71,2.82,6.42,5.57
1774506731,0.33,63.44,6.90,8320.61,2.82,6.42,5.57
1774506732,0.33,63.44,6.90,8320.47,2.82,6.42,5.57
1774506733,0.33,63.44,6.90,8320.42,2.82,6.42,5.57
1774506734,0.33,63.45,6.90,8320.45,2.82,6.42,5.57
1774506735,0.33,63.46,6.90,8320.58,2.82,6.42,5.57
1774506736,0.33,63.46,6.90,8320.53,2.82,6.42,5.57
1774506737,0.33,63.46,6.90,8320.41,2.82,6.42,5.57
1774506738,0.33,63.46,6.90,8320.27,2.82,6.42,5.57
1774506739,0.33,63.46,6.90,8320.13,2.82,6.42,5.57
1774506740,0.33,63.46,6.90,8320.03,2.82,6.42,5.57
1774506741,0.33,63.46,6.90,8319.88,2.82,6.42,5.57
1774506742,0.33,63.46,6.90,8319.80,2.82,6.42,5.57
1774506743,0.33,63.46,6.90,8319.73,2.82,6.42,5.57
1774506744,0.33,63.46,6.90,8319.60,2.82,6.42,5.57
1774506745,0.33,63.46,6.90,8319.46,2.82,6.42,5.57
1774506746,0.33,63.46,6.90,8319.40,2.82,6.42,5.57
1774506747,0.33,63.46,6.90,8319.30,2.82,6.42,5.57
1774506748,0.33,63.46,6.90,8319.16,2.82,6.42,5.57
1774506749,0.33,63.46,6.90,8319.02,2.82,6.42,5.57
1774506750,0.33,63.46,6.90,8319.85,2.82,6.42,5.57
1774506752,0.33,63.46,6.90,8320.88,2.82,6.44,5.57
1774506753,0.33,63.46,6.90,8320.82,2.82,6.44,5.57
1774506754,0.33,63.46,6.90,8320.67,2.82,6.44,5.57
1774506755,0.33,63.46,6.90,8320.55,2.82,6.44,5.57
1774506756,0.33,63.47,6.90,8320.52,2.82,6.44,5.57
1774506757,0.33,63.47,6.90,8320.42,2.82,6.44,5.57
1774506758,0.33,63.47,6.90,8320.28,2.82,6.44,5.57
1774506759,0.33,63.47,6.90,8320.17,2.82,6.44,5.57
1774506760,0.34,63.47,7.03,8320.07,2.79,6.44,5.57
1774506761,0.34,63.47,7.14,8319.92,2.77,6.44,5.57
1774506762,0.34,63.47,7.17,8319.78,2.77,6.44,5.57
1774506763,0.34,63.47,7.21,8319.64,2.77,6.44,5.57
1774506764,0.34,63.46,7.25,8319.50,2.76,6.44,5.57
1774506765,0.35,63.46,7.27,8319.36,2.75,6.44,5.57
1774506766,0.35,63.46,7.30,8319.24,2.75,6.44,5.57
1774506767,0.35,63.46,7.31,8319.60,2.75,6.44,5.57
1774506768,0.35,63.46,7.31,8319.50,2.75,6.44,5.57
1774506769,0.35,63.46,7.31,8319.36,2.75,6.44,5.57
1774506770,0.35,63.46,7.31,8319.28,2.75,6.44,5.57
1774506771,0.35,63.46,7.31,8319.23,2.75,6.44,5.57
1774506772,0.35,63.46,7.31,8319.13,2.75,6.44,5.57
1774506773,0.35,63.46,7.31,8318.98,2.75,6.44,5.57
1774506774,0.35,63.47,7.31,8318.98,2.74,6.44,5.57
1774506775,0.35,63.48,7.31,8319.14,2.74,6.44,5.57
1774506776,0.35,63.49,7.31,8319.20,2.75,6.45,5.57
1774506777,0.35,63.50,7.31,8319.36,2.75,6.45,5.57
1774506778,0.35,63.51,7.31,8319.27,2.75,6.45,5.57
1774506779,0.35,63.50,7.31,8319.34,2.75,6.45,5.57
1774506780,0.35,63.51,7.31,8319.26,2.75,6.45,5.57
1774506781,0.35,63.51,7.31,8319.20,2.75,6.45,5.57
1774506782,0.35,63.50,7.31,8319.05,2.75,6.45,5.57
1774506783,0.35,63.50,7.31,8318.91,2.75,6.45,5.57
1774506784,0.35,63.50,7.31,8318.76,2.75,6.45,5.57
1774506785,0.35,63.50,7.31,8318.62,2.74,6.45,5.57
1774506786,0.35,63.50,7.31,8319.02,2.74,6.45,5.57
1774506787,0.35,63.50,7.31,8318.90,2.74,6.45,5.57
1774506788,0.35,63.50,7.31,8318.77,2.74,6.45,5.57
1774506789,0.35,63.50,7.31,8318.63,2.74,6.45,5.57
1774506790,0.35,63.50,7.31,8318.53,2.74,6.45,5.57
1774506791,0.35,63.50,7.31,8318.39,2.74,6.45,5.57
1774506792,0.35,63.51,7.31,8318.42,2.74,6.45,5.57
1774506793,0.35,63.51,7.31,8318.48,2.74,6.45,5.57
1774506794,0.35,63.51,7.31,8318.34,2.74,6.45,5.57
