timestamp,mem_available
1774506650,93.35
1774506651,95.35
1774506652,94.13
1774506653,93.38
1774506654,92.93
1774506655,93.68
1774506656,92.76
1774506657,92.58
1774506658,92.22
1774506659,92.21
1774506660,92.23
1774506661,92.24
1774506662,92.21
1774506663,92.23
1774506664,92.25
1774506665,92.26
1774506666,92.24
1774506667,92.17
1774506668,91.84
1774506669,91.52
1774506670,91.18
1774506671,91.00
1774506672,91.00
1774506673,90.79
1774506674,90.88
1774506675,90.81
1774506676,90.59
1774506677,90.44
1774506678,90.46
1774506679,90.49
1774506680,90.55
1774506681,90.55
1774506682,90.78
1774506683,90.44
1774506684,90.58
1774506685,90.47
1774506686,90.35
1774506687,90.50
1774506688,90.69
1774506689,90.57
1774506690,90.62
1774506691,90.28
1774506692,90.37
1774506693,90.36
1774506694,90.51
1774506695,90.66
1774506696,90.08
1774506697,90.10
1774506698,90.44
1774506699,90.29
1774506700,90.34
1774506701,90.31
1774506702,90.44
1774506703,90.45
1774506704,90.53
1774506705,90.09
1774506706,90.14
1774506707,90.16
1774506708,90.13
1774506709,90.28
1774506710,90.49
1774506711,90.12
1774506712,90.13
1774506713,90.37
1774506714,90.15
1774506715,89.84
1774506716,89.88
1774506717,90.24
1774506718,90.21
1774506719,90.52
1774506721,90.51
1774506722,90.03
1774506723,90.05
1774506724,90.34
1774506725,90.35
1774506726,90.33
1774506727,89.87
1774506728,89.97
1774506729,90.54
1774506730,90.61
1774506731,90.27
1774506732,90.18
1774506733,90.70
1774506734,90.81
1774506735,90.70
1774506736,90.62
1774506737,90.09
1774506738,90.49
1774506739,90.48
1774506740,90.56
1774506741,90.57
1774506742,90.70
1774506743,90.90
1774506744,90.94
1774506745,90.86
1774506746,90.94
1774506747,90.56
1774506748,90.32
1774506749,90.31
1774506750,90.41
1774506751,90.20
1774506752,90.01
1774506753,90.05
1774506754,90.78
1774506755,91.02
1774506756,90.39
1774506757,90.21
1774506758,90.35
1774506759,90.22
1774506760,90.35
1774506761,90.43
1774506762,90.48
1774506763,90.68
1774506764,90.78
1774506765,90.85
1774506766,90.36
1774506767,90.20
1774506768,90.18
1774506769,90.72
1774506770,90.76
1774506771,90.29
1774506772,90.26
1774506773,90.36
1774506774,90.22
1774506775,90.32
1774506776,90.40
1774506777,90.65
1774506778,91.17
1774506779,91.13
1774506780,91.08
1774506781,91.03
1774506782,91.03
1774506783,91.11
1774506784,91.13
1774506785,91.04
1774506786,90.33
1774506787,90.63
1774506788,90.62
1774506789,90.72
1774506790,90.72
1774506791,90.76
1774506792,90.86
1774506793,91.23
1774506794,91.15
1774506795,90.65
1774506796,90.46
1774506797,90.42
1774506798,90.30
1774506799,90.37
1774506800,90.07
1774506801,90.05
1774506802,90.38
1774506803,90.32
1774506804,90.46
1774506805,90.23
1774506806,90.23
1774506807,90.39
1774506809,90.01
1774506810,89.97
1774506811,90.39
1774506812,90.42
1774506813,90.49
1774506814,90.72
1774506815,90.41
1774506816,90.42
1774506817,90.42
1774506818,90.38
1774506819,95.18
1774506820,94.96
1774506821,93.67
1774506822,93.33
1774506823,92.84
1774506824,93.00
1774506825,92.37
1774506826,91.85
1774506827,91.21
1774506828,91.22
1774506829,91.27
1774506830,91.29
1774506831,91.36
1774506832,91.43
1774506833,91.51
1774506834,91.60
1774506835,91.58
1774506836,91.66
1774506837,91.36
1774506838,91.23
1774506839,90.90
1774506840,90.85
1774506841,90.85
1774506842,90.59
1774506843,90.56
1774506844,90.45
1774506845,90.08
1774506846,89.96
1774506847,89.87
1774506848,89.89
1774506849,89.85
1774506850,89.86
1774506851,89.93
1774506852,90.46
1774506853,90.52
1774506854,90.55
1774506855,90.65
1774506856,90.64
1774506857,90.63
1774506858,90.64
1774506859,90.67
1774506860,90.71
1774506861,90.71
1774506862,90.71
1774506863,90.72
1774506864,90.70
1774506865,90.71
1774506866,90.72
1774506867,90.72
1774506868,90.70
1774506869,90.68
1774506870,90.65
1774506871,90.71
1774506872,90.70
1774506873,90.69
1774506874,90.67
1774506875,90.66
1774506876,90.70
1774506877,90.68
1774506878,90.67
1774506879,90.64
1774506880,90.66
1774506881,90.66
1774506882,90.43
1774506883,90.30
1774506884,90.60
1774506885,90.39
1774506886,90.02
1774506887,90.05
1774506888,90.26
1774506889,90.34
1774506891,90.46
1774506892,90.48
1774506893,90.45
1774506894,90.46
1774506895,90.47
1774506896,90.12
1774506897,89.92
1774506898,89.96
1774506899,89.81
1774506900,90.73
1774506901,90.73
1774506902,90.48
1774506903,90.20
1774506904,90.49
1774506905,90.45
1774506906,90.11
1774506907,90.11
1774506908,90.07
1774506909,90.07
1774506910,89.85
1774506911,89.89
1774506912,89.88
1774506913,89.70
1774506914,95.18
1774506915,94.49
1774506916,93.48
1774506917,93.20
1774506918,93.04
1774506919,93.31
1774506920,92.55
1774506921,92.12
1774506922,92.12
1774506923,92.16
1774506924,92.16
1774506925,91.81
1774506926,91.81
1774506927,91.81
1774506928,91.81
1774506929,91.81
1774506930,91.93
1774506931,91.83
1774506932,91.44
1774506933,91.17
1774506934,91.01
1774506935,90.51
1774506936,90.55
1774506937,89.92
1774506938,90.06
1774506939,89.43
1774506940,95.31
1774506941,94.68
1774506942,93.50
1774506943,93.01
1774506944,92.74
1774506945,93.64
1774506946,92.81
1774506947,92.42
1774506948,92.00
1774506949,91.99
1774506950,91.99
1774506951,91.97
1774506952,91.96
1774506953,91.96
1774506954,91.96
1774506955,91.96
1774506956,91.92
