worker_id,job_id,status_code,latency_ms,error,response_body
11,4,200,689,,"{""trajectory_result"":[],""latency_sec"":0.6456265449523926}"
15,10,200,863,,"{""trajectory_result"":[],""latency_sec"":0.8511626720428467}"
15,21,200,691,,"{""trajectory_result"":0.0,""latency_sec"":0.6873166561126709}"
3,18,200,1795,,"{""trajectory_result"":0,""latency_sec"":1.7811510562896729}"
19,19,200,2336,,"{""trajectory_result"":0.0,""latency_sec"":2.3104591369628906}"
9,0,200,2573,,"{""trajectory_result"":[],""latency_sec"":2.5316879749298096}"
18,16,200,3022,,"{""trajectory_result"":0.0,""latency_sec"":2.9903109073638916}"
6,1,200,3634,,"{""trajectory_result"":0.0,""latency_sec"":3.6141417026519775}"
13,8,200,3688,,"{""trajectory_result"":0.0,""latency_sec"":3.6554338932037354}"
16,11,200,4306,,"{""trajectory_result"":0.0,""latency_sec"":4.272690773010254}"
12,7,200,4885,,"{""trajectory_result"":0.0,""latency_sec"":4.7234790325164795}"
10,2,200,6340,,"{""trajectory_result"":0.022660098859829267,""latency_sec"":6.297341346740723}"
14,9,200,6444,,"{""trajectory_result"":0.0,""latency_sec"":6.309164762496948}"
8,15,200,6759,,"{""trajectory_result"":0.0,""latency_sec"":6.714518785476685}"
4,3,200,10371,,"{""trajectory_result"":0.0,""latency_sec"":10.321199417114258}"
5,17,200,11705,,"{""trajectory_result"":0,""latency_sec"":11.66625189781189}"
1,12,200,13786,,"{""trajectory_result"":0,""latency_sec"":13.74864673614502}"
7,6,200,15471,,"[{""trajectory_result"":0.0,""latency_sec"":3.8698408603668213},{""trajectory_result"":0.0,""latency_sec"":3.0697133541107178},{""trajectory_result"":0.0,""latency_sec"":5.007781267166138},{""trajectory_result"":0.0,""latency_sec"":2.2209296226501465},{""trajectory_result"":0.0,""latency_sec"":3.5906200408935547},{""trajectory_result"":0.0,""latency_sec"":3.8087666034698486},{""trajectory_result"":0.0,""latency_sec"":6.406709909439087},{""trajectory_result"":0.0,""latency_sec"":5.663123369216919},{""trajectory_result"":0.0,""latency_sec"":7.970601558685303},{""trajectory_result"":0.0,""latency_sec"":8.819620609283447},{""trajectory_result"":0.0,""latency_sec"":7.775534152984619},{""trajectory_result"":0.2539845784517977,""latency_sec"":12.014224290847778},{""trajectory_result"":0.0,""latency_sec"":15.352782964706421},{""trajectory_result"":0.0,""latency_sec"":5.7746360301971436},{""trajectory_result"":0.0,""latency_sec"":8.257127046585083},{""trajectory_result"":0.0,""latency_sec"":12.69533920288086},{""trajectory_result"":0.0,""latency_sec"":11.080366373062134},{""trajectory_result"":0.0,""latency_sec"":12.431678056716919},{""trajectory_result"":0.0,""latency_sec"":13.39191746711731},{""trajectory_result"":-7.407079646017699,""latency_sec"":14.20214295387268}]"
15,22,200,14173,,"[{""trajectory_result"":0.0,""latency_sec"":1.5938498973846436},{""trajectory_result"":0.0,""latency_sec"":6.097845077514648},{""trajectory_result"":0.0,""latency_sec"":4.53087306022644},{""trajectory_result"":-9.0,""latency_sec"":1.0364468097686768},{""trajectory_result"":0.0,""latency_sec"":3.6257429122924805},{""trajectory_result"":0.0,""latency_sec"":6.091512680053711},{""trajectory_result"":0.0,""latency_sec"":6.62797474861145},{""trajectory_result"":0.0,""latency_sec"":4.912633895874023},{""trajectory_result"":0.0,""latency_sec"":9.005380868911743},{""trajectory_result"":0.0,""latency_sec"":11.999672174453735},{""trajectory_result"":0.0,""latency_sec"":7.0982115268707275},{""trajectory_result"":0.0,""latency_sec"":8.256433963775635},{""trajectory_result"":0.0,""latency_sec"":11.985257625579834},{""trajectory_result"":0.0,""latency_sec"":10.492443084716797},{""trajectory_result"":0.0,""latency_sec"":10.946215391159058},{""trajectory_result"":0.0,""latency_sec"":12.583938360214233},{""trajectory_result"":0.0,""latency_sec"":11.805768251419067},{""trajectory_result"":0.0,""latency_sec"":11.499397277832031},{""trajectory_result"":0.0,""latency_sec"":11.042596817016602},{""trajectory_result"":0.0,""latency_sec"":14.064900159835815}]"
15,38,200,219,,"{""trajectory_result"":0.0,""latency_sec"":0.21586942672729492}"
11,20,200,19017,,"{""trajectory_result"":[],""latency_sec"":18.89325976371765}"
13,28,200,17046,,"{""trajectory_result"":0.0,""latency_sec"":16.826045751571655}"
9,25,200,19181,,"{""trajectory_result"":0.0,""latency_sec"":19.020429849624634}"
12,30,200,17872,,"{""trajectory_result"":0,""latency_sec"":17.75226616859436}"
14,32,200,16966,,"{""trajectory_result"":0.0,""latency_sec"":16.67803955078125}"
17,14,200,25343,,"[{""trajectory_result"":0.0,""latency_sec"":15.03166675567627},{""trajectory_result"":0.0,""latency_sec"":7.202317953109741},{""trajectory_result"":0.0,""latency_sec"":6.80596137046814},{""trajectory_result"":0.0,""latency_sec"":10.825741529464722},{""trajectory_result"":0.0,""latency_sec"":12.514114618301392},{""trajectory_result"":0.0,""latency_sec"":11.114794969558716},{""trajectory_result"":0.0,""latency_sec"":14.202182054519653},{""trajectory_result"":0.0,""latency_sec"":12.471401453018188},{""trajectory_result"":0.0,""latency_sec"":15.719742059707642},{""trajectory_result"":0.0,""latency_sec"":16.18031120300293},{""trajectory_result"":0.0,""latency_sec"":17.163567781448364},{""trajectory_result"":0.0,""latency_sec"":16.718603134155273},{""trajectory_result"":-9.0,""latency_sec"":17.639926433563232},{""trajectory_result"":0.0,""latency_sec"":25.142250061035156},{""trajectory_result"":0.0,""latency_sec"":17.799043893814087},{""trajectory_result"":0.0,""latency_sec"":18.50635576248169},{""trajectory_result"":0.0,""latency_sec"":19.175508499145508},{""trajectory_result"":0.0,""latency_sec"":19.07841420173645},{""trajectory_result"":0.0,""latency_sec"":18.698633193969727},{""trajectory_result"":0.0,""latency_sec"":19.906932592391968}]"
19,24,200,23103,,"{""trajectory_result"":-4176.0,""latency_sec"":23.051164388656616}"
10,31,200,19907,,"{""trajectory_result"":[],""latency_sec"":19.539812803268433}"
3,23,200,25964,,"{""trajectory_result"":[],""latency_sec"":25.847700357437134}"
15,39,200,11914,,"[{""trajectory_result"":0.0,""latency_sec"":5.1271653175354},{""trajectory_result"":0.0,""latency_sec"":3.39399790763855},{""trajectory_result"":0.0,""latency_sec"":2.746861457824707},{""trajectory_result"":0.0,""latency_sec"":5.514410018920898},{""trajectory_result"":0.19471649570179353,""latency_sec"":6.637754440307617},{""trajectory_result"":0.0,""latency_sec"":4.3988800048828125},{""trajectory_result"":0.0,""latency_sec"":6.073915481567383},{""trajectory_result"":0.0,""latency_sec"":0.6524655818939209},{""trajectory_result"":0.0,""latency_sec"":4.394763946533203},{""trajectory_result"":0.0,""latency_sec"":7.042832851409912},{""trajectory_result"":0.0,""latency_sec"":8.738102436065674},{""trajectory_result"":0.0,""latency_sec"":9.596580505371094},{""trajectory_result"":-9.0,""latency_sec"":8.73536205291748},{""trajectory_result"":0.0,""latency_sec"":10.89662766456604},{""trajectory_result"":-8.589473684210526,""latency_sec"":10.947312593460083},{""trajectory_result"":-9.0,""latency_sec"":10.801769018173218},{""trajectory_result"":0.0,""latency_sec"":7.711338043212891},{""trajectory_result"":0.0,""latency_sec"":9.852381944656372},{""trajectory_result"":-7.275,""latency_sec"":11.874125003814697},{""trajectory_result"":0.0,""latency_sec"":11.221611499786377}]"
0,5,200,32641,,"[{""trajectory_result"":0.0,""latency_sec"":17.46437358856201},{""trajectory_result"":0.0,""latency_sec"":19.996356964111328},{""trajectory_result"":0.0,""latency_sec"":22.63544988632202},{""trajectory_result"":0.0,""latency_sec"":14.720987796783447},{""trajectory_result"":0.0,""latency_sec"":13.4024498462677},{""trajectory_result"":0.0,""latency_sec"":21.930700063705444},{""trajectory_result"":0.0,""latency_sec"":16.089433908462524},{""trajectory_result"":0.0,""latency_sec"":18.927865028381348},{""trajectory_result"":0.0,""latency_sec"":20.992464303970337},{""trajectory_result"":0.0,""latency_sec"":20.990839958190918},{""trajectory_result"":0.0,""latency_sec"":24.244335889816284},{""trajectory_result"":0.0,""latency_sec"":26.7992045879364},{""trajectory_result"":0.0,""latency_sec"":23.982574462890625},{""trajectory_result"":0.0,""latency_sec"":32.26045322418213},{""trajectory_result"":0.0,""latency_sec"":24.99683451652527},{""trajectory_result"":0.0,""latency_sec"":24.907975673675537},{""trajectory_result"":0.0,""latency_sec"":25.081398725509644},{""trajectory_result"":0.0,""latency_sec"":23.21243953704834},{""trajectory_result"":0.0,""latency_sec"":30.10592818260193},{""trajectory_result"":0.0,""latency_sec"":28.724440336227417}]"
18,26,200,36219,,"{""trajectory_result"":0,""latency_sec"":35.68781018257141}"
7,37,200,28439,,"{""trajectory_result"":0,""latency_sec"":27.564517736434937}"
8,33,200,38454,,"[{""trajectory_result"":0.0,""latency_sec"":23.346407890319824},{""trajectory_result"":0.0,""latency_sec"":28.549371242523193},{""trajectory_result"":0.0,""latency_sec"":20.589087963104248},{""trajectory_result"":0.0,""latency_sec"":19.529656410217285},{""trajectory_result"":0.019617225172702205,""latency_sec"":27.778428316116333},{""trajectory_result"":0.0,""latency_sec"":29.849138498306274},{""trajectory_result"":0.0,""latency_sec"":21.240814924240112},{""trajectory_result"":0.0,""latency_sec"":30.258625268936157},{""trajectory_result"":0.0,""latency_sec"":25.250494480133057},{""trajectory_result"":0.0,""latency_sec"":25.68446969985962},{""trajectory_result"":0.006719367689059186,""latency_sec"":30.32650923728943},{""trajectory_result"":0.0,""latency_sec"":30.175827026367188},{""trajectory_result"":0.0,""latency_sec"":32.03163766860962},{""trajectory_result"":0.0,""latency_sec"":32.222415924072266},{""trajectory_result"":0.0,""latency_sec"":30.802472352981567},{""trajectory_result"":0.15041783113748583,""latency_sec"":32.733423471450806},{""trajectory_result"":0.0,""latency_sec"":37.986820936203},{""trajectory_result"":0.0,""latency_sec"":30.97016930580139},{""trajectory_result"":0.0,""latency_sec"":36.044238567352295},{""trajectory_result"":0.0,""latency_sec"":33.19231057167053}]"
2,13,200,45314,,"[{""trajectory_result"":0.0,""latency_sec"":27.139448642730713},{""trajectory_result"":0.0,""latency_sec"":32.25170016288757},{""trajectory_result"":0.0,""latency_sec"":31.255027770996094},{""trajectory_result"":0.0,""latency_sec"":26.524155378341675},{""trajectory_result"":0.0,""latency_sec"":34.69161248207092},{""trajectory_result"":0.0,""latency_sec"":34.08959221839905},{""trajectory_result"":0.0,""latency_sec"":36.42096471786499},{""trajectory_result"":0.0,""latency_sec"":33.1371533870697},{""trajectory_result"":0.0,""latency_sec"":34.60754179954529},{""trajectory_result"":0.0,""latency_sec"":36.194133043289185},{""trajectory_result"":0.0,""latency_sec"":34.43447780609131},{""trajectory_result"":0.0,""latency_sec"":44.83138990402222},{""trajectory_result"":0.0,""latency_sec"":35.29875946044922},{""trajectory_result"":0.0,""latency_sec"":40.7296621799469},{""trajectory_result"":0.0,""latency_sec"":35.56639385223389},{""trajectory_result"":0.0,""latency_sec"":36.87414312362671},{""trajectory_result"":0.0,""latency_sec"":39.41518950462341},{""trajectory_result"":0.0,""latency_sec"":37.411125898361206},{""trajectory_result"":0.0,""latency_sec"":39.413264751434326},{""trajectory_result"":0.4250349720562255,""latency_sec"":41.18389129638672}]"
6,27,200,43308,,"{""trajectory_result"":0,""latency_sec"":43.2450795173645}"
1,36,200,33241,,"{""trajectory_result"":0.0,""latency_sec"":33.14230680465698}"
5,35,200,35654,,"{""trajectory_result"":0.0,""latency_sec"":35.38293099403381}"
11,40,200,27927,,"{""trajectory_result"":0.0,""latency_sec"":27.790520906448364}"
4,34,200,38709,,"{""trajectory_result"":0.0,""latency_sec"":38.653042793273926}"
13,41,200,29038,,"{""trajectory_result"":[],""latency_sec"":28.946078300476074}"
16,29,200,46989,,"{""trajectory_result"":0.0,""latency_sec"":46.290709257125854}"
