worker_id,job_id,status_code,latency_ms,error,response_body
13,9,200,2053,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
14,1,200,2092,,0.0
6,13,200,2120,,0.0
17,5,200,2272,,0.0
19,17,200,2390,,0.0
11,7,200,2574,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
16,4,200,2719,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
7,15,200,2749,,-9.0
2,16,200,2833,,0.0
12,8,200,2960,,0.0
5,12,200,3024,,0.0
8,18,200,3174,,0.1
16,26,500,945,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<ows:ExceptionReport version=""2.0.1""
    xsi:schemaLocation=""http://www.opengis.net/ows/2.0 http://schemas.opengis.net/ows/2.0/owsExceptionReport.xsd""
    xmlns:ows=""http://www.opengis.net/ows/2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <ows:Exception exceptionCode=""RasdamanRequestFailed"" >
        <ows:ExceptionText>Error querying rasdaman with rasql 'Select sdom(clip( c, LINESTRING(73092 23 17,73092 23 17) ))  FROM DWD_5min_4326 AS c'. Reason: std::bad_array_new_length</ows:ExceptionText>
    </ows:Exception>
</ows:ExceptionReport>
"
15,2,200,3870,,0.0
13,20,200,2348,,0.0
14,21,200,2584,,0.0
1,14,200,5401,,0.0
7,27,200,2729,,0.0
2,28,200,2739,,0.0
19,24,200,3229,,0.0
11,25,200,3139,,"[false,false,false,false,false,false,false,false,false,false,false,false,false]"
12,29,200,3030,,0.0
15,33,200,2513,,"[false,false,false,false,false,false,false]"
3,19,200,7118,,0.0
14,35,200,3017,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
13,34,200,3295,,"[false,false,false,false,false,false,false]"
1,36,200,2611,,0.0
12,41,200,2191,,0.0
18,6,500,8395,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<ows:ExceptionReport version=""2.0.1""
    xsi:schemaLocation=""http://www.opengis.net/ows/2.0 http://schemas.opengis.net/ows/2.0/owsExceptionReport.xsd""
    xmlns:ows=""http://www.opengis.net/ows/2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <ows:Exception exceptionCode=""RasdamanRequestFailed"" >
        <ows:ExceptionText>Error querying rasdaman with rasql 'Select sdom(clip( c, LINESTRING(99508 26 13,99508 26 13) ))  FROM DWD_5min_4326 AS c'. Reason: std::bad_array_new_length</ows:ExceptionText>
    </ows:Exception>
</ows:ExceptionReport>
"
17,23,200,6186,,0.0
2,38,200,2938,,0.0
19,39,200,2988,,0.0
11,40,200,3195,,0.0
16,32,200,5290,,0.0
8,31,200,6915,,0.0
5,30,200,7235,,0.0
0,11,500,10770,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<ows:ExceptionReport version=""2.0.1""
    xsi:schemaLocation=""http://www.opengis.net/ows/2.0 http://schemas.opengis.net/ows/2.0/owsExceptionReport.xsd""
    xmlns:ows=""http://www.opengis.net/ows/2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <ows:Exception exceptionCode=""RasdamanRequestFailed"" >
        <ows:ExceptionText>Error querying rasdaman with rasql 'Select sdom(clip( c, LINESTRING(32662 24 16,32662 24 16) ))  FROM DWD_5min_4326 AS c'. Reason: GRPC Exception, status code: UNAVAILABLE, description: Network closed for unknown reason</ows:ExceptionText>
    </ows:Exception>
</ows:ExceptionReport>
"
4,10,200,20449,,"""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"""
10,3,200,21354,,"""0 -9 0 0 0 0.008695652303488358 0 0 0 0 0 0 0 0 0 0 0 0 0 0"""
7,37,200,15978,,"""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"""
9,0,200,21707,,"""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 0"""
6,22,200,19632,,"""0 0 0 0 0 0 0 0.1272727291692387 0 0 0 0 0 0 0 0 0 0 0 0"""
