worker_id,job_id,status_code,latency_ms,error,response_body
14,2,200,2081,,0.0
3,15,200,2166,,0.0
19,19,200,2171,,"[false,false,false,false,false,false,false,false,false]"
0,12,200,2341,,"[false,false,false,false,false,false,false,false,false,false,false,false]"
13,9,200,2566,,"[false,false,false,false,false,false,false,false,false,false]"
9,0,200,2695,,-9.0
8,11,200,2732,,0.0
16,17,200,2762,,0.0
1,13,200,2824,,0.0
7,10,200,3122,,0.1
2,14,200,3152,,0.0
5,4,200,3396,,0.0
18,16,200,3544,,0.0
10,5,200,3564,,0.10000000149011612
3,21,200,2665,,0.0
13,24,200,2759,,"[false,false,false,false,false,false,false,false,false,false]"
8,26,200,2767,,0.0
7,29,200,2441,,"[false,false,false,false,false]"
0,23,200,3216,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
1,28,200,2761,,0.0
5,31,200,2711,,0.0
2,30,200,3020,,0.0
16,27,200,3576,,0.0
17,18,200,6435,,0.0
18,32,200,3030,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
11,7,200,6997,,0.0
3,34,200,2889,,0.0
6,6,200,8027,,0.0
7,37,200,2716,,0.0
1,39,200,2767,,0.0
5,40,200,2450,,0.0
19,22,200,6427,,NaN
10,33,200,5613,,NaN
13,35,200,4433,,0.0
9,25,500,7931,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<ows:ExceptionReport version=""2.0.1""
    xsi:schemaLocation=""http://www.opengis.net/ows/2.0 http://schemas.opengis.net/ows/2.0/owsExceptionReport.xsd""
    xmlns:ows=""http://www.opengis.net/ows/2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <ows:Exception exceptionCode=""RasdamanRequestFailed"" >
        <ows:ExceptionText>Error querying rasdaman with rasql 'Select sdom(clip( c, LINESTRING(45400 29 17,45400 29 17) ))  FROM DWD_5min_4326 AS c'. Reason: GRPC Exception, status code: UNAVAILABLE, description: Network closed for unknown reason</ows:ExceptionText>
    </ows:Exception>
</ows:ExceptionReport>
"
0,38,200,5101,,0.0
12,8,200,25620,,"""0 0.007142857249294009 0 0 0 0 0 0 0.1500000022351742 0 -9 0 0 0 0 0 0 0 0 0"""
4,1,200,25697,,"""0.05882353072657304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"""
15,3,200,25784,,"""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"""
14,20,200,24157,,"""0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"""
2,41,200,20298,,"""0 0 0 0 0 0 0 0 0 0 0.1083333349476258 0 0 0 0 0 0 0 0 0"""
8,36,200,21346,,"""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"""
